Event;date/time;Water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;E. indicans ;Lovenella sp.
List Reede;11.01.2016;15,25;;2;5;1;0;11;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;20.01.2016;15,25;;0;209;0;0;145;0;0;175;10;0;6;0;0;0;0;0;0;0;0;0
List Reede;25.01.2016;15,25;;0;8;1;0;129;0;0;99;1;23;0;0;7;0;0;0;1;0;0;0
List Reede;04.02.2016;15,25;;0;3;1;0;10;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;10.02.2016;15,25;;2;6;4;0;10;8;1;13;1;0;0;0;0;0;0;0;0;0;0;4
List Reede;29.02.2016;15,25;;0;12;43;0;4;0;5;7;0;2;0;0;2;2;0;0;0;0;0;0
List Reede;07.03.2016;15,25;;2;5;9;0;0;0;3;6;0;0;0;0;3;0;0;0;0;0;0;0
List Reede;14.03.2016;15,25;1 x Cyanea sp.;0;12;66;0;4;0;11;8;0;0;0;0;64;1;0;0;1;0;0;0
List Reede;29.03.2016;15,25;;0;21;20;0;0;0;0;3;0;0;0;0;26;0;0;0;0;0;0;0
List Reede;04.04.2016;15,25;;1;63;57;0;0;0;3;7;0;0;0;0;1;0;0;0;0;0;0;0
List Reede;11.04.2016;15,25;1 x Cyanea sp.;0;85;122;0;36;0;1;3;0;0;0;0;15;0;0;0;0;0;0;0
List Reede;23.05.2016;15,25;1 x Cyanea sp.;2;49;10;0;1;0;4;12;0;0;0;0;0;2;0;0;0;0;0;0
List Reede;15.05.2016;15,25;;3;154;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;20.04.2016;15,25;;0;22;141;0;191;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0
List Reede;27.04.2016;15,25;;0;0;0;0;11;0;0;1;0;0;0;0;155;0;0;0;0;0;0;0
List Reede;31.05.2016;15,25;20 x Cyanea sp.;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;06.06.2016;15,25;13 x Cyanea sp.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;13.06.2016;15,25;5 x Cyanea sp.;0;2;0;0;44;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
List Reede;20.06.2016;15,25;1 x Cyanea sp.;12;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
List Reede;27.06.2016;15,25;;0;0;0;0;8;0;2;0;0;1;0;0;0;0;0;0;0;33;0;0
List Reede;22.08.2016;15,25;;673;0;0;0;217;0;0;0;1;2;0;0;0;0;0;0;7;150;2;0
List Reede;29.08.2016;15,25;;1116;0;0;25;62;0;0;1;0;0;73;0;0;0;0;0;20;62;1;0
List Reede;05.09.2016;15,25;2 hauls;537;0;0;0;52;0;0;0;0;1;0;0;0;0;0;0;12;0;0;0
List Reede;12.09.2016;15,25;2 hauls;548;0;0;11;91;26;1;0;0;0;0;0;0;0;0;0;4;5;39;10
List Reede;19.09.2016;15,25;2 hauls;777;0;0;27;1;0;2;0;0;0;73;0;0;0;0;0;6;11;0;18
List Reede;26.09.2016;15,25;2 hauls;588;0;0;23;6;0;0;0;0;0;0;0;0;0;0;0;13;58;9;0
List Reede;04.10.2016;15,25;2 hauls;727;0;0;5;61;0;0;0;0;0;0;0;0;0;0;3;6;21;0;14
List Reede;10.10.2016;15,25;;251;0;0;27;317;0;0;0;0;0;0;0;0;0;0;6;4;82;4;23
List Reede;24.10.2016;15,25;;572;0;0;0;199;0;0;0;0;3;22;0;0;0;0;1;63;0;0;4
List Reede;31.10.2016;15,25;2 hauls;268;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1
List Reede;07.11.2016;15,25;2 hauls;334;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
List Reede;14.11.2016;15,25;;143;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
List Reede;21.11.2016;15,25;;201;0;0;0;436;0;0;0;0;0;5;0;0;1;0;0;5;0;0;0
List Reede;28.11.2016;15,25;;62;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;05.12.2016;15,25;;196;0;0;0;708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;12.12.2016;15,25;;158;0;0;0;349;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
