Event;Date time;Lat;Long;water depth;comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Cyanea sp.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;Aurelia aurita;E. indicans ;Lovenella sp.
List Reede;05.01.21;55,0300;8,4600;15,25;analyst T. Kress;0;0;0;0;3;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;11.01.21;55,0300;8,4600;15,25;analyst T. Kress;3;1;0;0;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;18.01.21;55,0300;8,4600;15,25;analyst T. Kress;2;0;0;0;8;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;25.01.21;55,0300;8,4600;15,25;analyst T. Kress;1;0;0;0;9;0;0;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0
List Reede;01.02.21;55,0300;8,4600;15,25;analyst T. Kress;0;0;0;0;8;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;22.02.21;55,0300;8,4600;15,25;analyst T. Kress;0;0;1;0;3;0;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0
List Reede;01.03.21;55,0300;8,4600;15,25;analyst T. Kress;0;2;0;0;0;0;0;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0
List Reede;08.03.21;55,0300;8,4600;15,25;analyst T. Kress;0;0;6;0;1;0;0;10;0;0;0;0;13;0;0;0;0;0;0;0;0;0
List Reede;15.03.21;55,0300;8,4600;15,25;analyst T. Kress;0;0;13;0;0;0;0;16;0;0;0;0;46;1;0;0;0;0;0;0;0;0
List Reede;22.03.21;55,0300;8,4600;15,25;analyst T. Kress;0;0;17;0;3;0;0;6;0;0;0;0;16;0;0;0;0;0;0;0;0;0
List Reede;29.03.21;55,0300;8,4600;15,25;analyst T. Kress;0;23;22;0;0;0;0;26;0;0;0;0;58;0;0;0;0;0;0;0;0;0
List Reede;06.04.21;55,0300;8,4600;15,25;analyst T. Kress;0;21;43;0;0;0;0;15;0;0;0;0;474;0;0;0;0;0;0;0;0;0
List Reede;12.04.21;55,0300;8,4600;15,25;analyst T. Kress;0;11;18;0;0;3;0;11;0;0;0;0;232;0;0;0;0;0;0;0;0;0
List Reede;19.04.21;55,0300;8,4600;15,25;analyst T. Kress;0;11;22;0;0;7;0;3;0;0;0;0;411;0;0;0;0;0;0;0;0;0
List Reede;26.04.21;55,0300;8,4600;15,25;analyst T. Kress;0;3;15;0;0;3;0;2;0;0;0;0;35;0;0;0;0;0;0;0;0;0
List Reede;31.05.21;55,0300;8,4600;15,25;analyst T. Kress;0;3;2;0;0;0;0;0;0;0;0;0;1;6;7;0;0;0;0;0;0;0
List Reede;07.06.21;55,0300;8,4600;15,25;analyst T. Kress;2;1;1;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
