Event;Date time;Lat;Long;water depth;comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Cyanea sp.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;Aurelia aurita;E. indicans ;Lovenella sp.
List Reede;05.07.21;55,0300;8,4600;15,25;analyst T. Kress;2;47;0;0;0;0;0;0;0;8;0;0;0;0;0;0;173;1;0;0;0;0
List Reede;12.07.21;55,0300;8,4600;15,25;analyst T. Kress;0;12;0;0;0;0;0;0;0;0;4;0;0;0;0;0;69;31;0;0;0;0
List Reede;19.07.21;55,0300;8,4600;15,25;analyst T. Kress;3;62;0;0;0;0;0;0;0;0;4;0;0;0;0;0;468;96;0;0;0;0
List Reede;26.07.21;55,0300;8,4600;15,25;analyst T. Kress;14;41;0;0;0;0;0;0;0;20;10;0;0;0;0;0;55;0;0;0;0;0
List Reede;09.08.21;55,0300;8,4600;15,25;analyst T. Kress;410;21;0;0;120;0;0;0;0;0;25;0;0;0;0;0;11;0;0;0;0;2
List Reede;16.08.21;55,0300;8,4600;15,25;analyst T. Kress;1074;0;0;0;1245;0;0;7;0;22;14;0;0;0;0;0;0;0;0;0;0;0
List Reede;23.08.21;55,0300;8,4600;15,25;analyst T. Kress;391;0;0;0;96;0;0;1;0;4;7;0;0;0;0;1;4;0;0;0;0;0
List Reede;30.08.21;55,0300;8,4600;15,25;analyst T. Kress;567;0;0;0;557;0;0;2;0;1;5;0;0;0;0;0;0;0;0;0;0;6
List Reede;06.09.21;55,0300;8,4600;15,25;analyst T. Kress;356;0;0;0;217;0;0;3;0;5;3;0;0;0;0;0;0;0;0;0;0;0
List Reede;13.09.21;55,0300;8,4600;15,25;analyst T. Kress;174;0;0;0;122;0;0;0;0;213;42;0;0;0;0;0;0;12;0;0;0;5
List Reede;20.09.21;55,0300;8,4600;15,25;analyst T. Kress;27;0;0;0;7;0;0;0;0;8;23;0;0;0;0;0;0;6;0;0;0;1
List Reede;27.09.21;55,0300;8,4600;15,25;analyst T. Kress;38;0;0;0;751;0;0;0;0;23;64;0;0;0;0;0;17;27;38;0;0;19
List Reede;04.10.21;55,0300;8,4600;15,25;analyst T. Kress;43;0;0;0;358;0;0;3;0;82;153;0;0;0;0;0;9;0;0;0;0;0
List Reede;11.10.21;55,0300;8,4600;15,25;analyst T. Kress;32;0;0;0;4;0;0;0;0;24;12;0;0;0;0;0;0;19;27;0;0;14
List Reede;18.10.21;55,0300;8,4600;15,25;analyst T. Kress;65;0;0;0;263;0;0;47;13;56;9;0;0;0;0;0;4;0;5;0;0;2
List Reede;25.10.21;55,0300;8,4600;15,25;analyst T. Kress;38;13;0;0;89;0;0;11;0;35;64;0;0;0;0;0;2;12;9;0;0;0
List Reede;01.11.21;55,0300;8,4600;15,25;analyst T. Kress;10;0;0;0;12;0;0;16;0;0;83;0;0;0;0;0;3;130;173;0;0;0
List Reede;08.11.21;55,0300;8,4600;15,25;analyst T. Kress;58;0;0;0;136;0;0;18;0;0;2;0;0;0;0;0;2;0;8;0;0;0
List Reede;15.11.21;55,0300;8,4600;15,25;analyst T. Kress;46;0;0;0;54;0;0;17;0;7;0;0;0;3;0;0;3;9;11;0;0;0
List Reede;22.11.21;55,0300;8,4600;16;analyst T. Kress;64;0;0;0;11;0;0;6;0;0;1;0;0;0;0;0;11;0;0;0;0;0
