year;Nobs.sum_ST1;annual_AVG;annual_MED;season;Nobs_ST1;seasonal_AVG;seasonal_MED
2009;46;27,94248611;22,62;2009 spring;12;54,47766667;39,555
2009;46;27,94248611;22,62;2009 summer;12;25,60061111;23,00666667
2009;46;27,94248611;22,62;2009 autumn;12;28,20666667;24,625
2010;45;94,77956667;61,06;2010 winter;2;5,525;5,525
2010;45;94,77956667;61,06;2010 spring;16;240,6041667;151,5383333
2010;45;94,77956667;61,06;2010 summer;13;31,46233333;21,12333333
2010;45;94,77956667;61,06;2010 autumn;13;37,3465;26,45166667
2011;48;50,27166528;48,61408333;2011 winter;10;17,63494444;14,9215
