Flow;Mean;Q0;Q2.5;Q97.5;Q100
Biv->Poc;0,010037892;0,002698017;0,004970945;0,016826964;0,020100128
Biv->Exp;0,010116562;1,02691E-05;0,000857983;0,022543527;0,033121625
Biv->Resp;0,012236176;0,005926188;0,009254015;0,013677471;0,013731022
Gastr->Hydro;0,001101801;4,63461E-08;4,64138E-05;0,002971056;0,004051769
Gastr->Ppil;0,000167845;9,62539E-09;4,63549E-06;0,000571335;0,001007544
Gastr->Mlei;0,000532237;0,000253281;0,000414383;0,000619694;0,000688283
Gastr->Bcu;4,18116E-05;1,27329E-09;1,28274E-06;0,000140282;0,000363261
Gastr->Her;3,7455E-06;1,76623E-06;2,53242E-06;4,61522E-06;4,78042E-06
Gastr->Poc;0,001138205;0,000308989;0,000610454;0,001913153;0,00229265
Gastr->Exp;0,002039128;2,21012E-06;0,000217508;0,003710416;0,004648363
Gastr->Resp;0,001808118;0,000660478;0,001152571;0,002584893;0,00270993
Poly->Ppil;0,000173809;8,67505E-09;4,40085E-06;0,000581191;0,001011799
Poly->Mlei;0,002947722;1,98919E-07;9,55476E-05;0,007643668;0,009999755
Poly->Bcu;4,1253E-05;3,41587E-09;1,18789E-06;0,00014128;0,000262534
Poly->Her;0,000732506;4,80041E-07;3,76956E-05;0,001571478;0,001814098
Poly->Poc;0,114080873;0,033388054;0,060338673;0,186250378;0,216956174
Poly->Exp;0,398159259;0,150960896;0,250699525;0,44104595;0,445126473
Poly->Resp;0,258625092;0,078623913;0,129395157;0,334964409;0,351758393
Hydro->Ppil;0,000171072;2,47877E-08;4,82231E-06;0,000587145;0,001581899
Hydro->Mlei;5,04337E-05;1,62761E-05;2,84743E-05;9,97615E-05;0,000167598
Hydro->Poc;0,001337942;0,000405378;0,000724004;0,002223327;0,002685868
Hydro->Exp;0,00433086;0,001577567;0,002904569;0,005560183;0,006126627
Hydro->Resp;0,002141237;0,000727494;0,001350692;0,003086092;0,00357579
Ppil->Bcu;4,14011E-05;3,8716E-10;9,6927E-07;0,000140604;0,000432776
Ppil->Poc;0,000270568;0,000110866;0,000155714;0,000443096;0,000505996
Ppil->Exp;0,000870084;0,000366842;0,000643069;0,001085989;0,001204887
Ppil->Resp;0,000428982;0,000190002;0,000296145;0,000608713;0,000686075
Mlei->Bcu;4,1768E-05;1,13961E-09;1,10332E-06;0,000141226;0,000292322
Mlei->Poc;0,005547212;0,002023571;0,002896282;0,009012531;0,010140052
Mlei->Exp;0,015948707;0,007194683;0,012733997;0,017203008;0,017261286
Mlei->Resp;0,0085774;0,003271108;0,005447313;0,012300892;0,013450856
Bcu->Poc;7,42716E-05;3,15511E-05;4,38586E-05;0,000121967;0,000141219
Bcu->Exp;0,000251715;0,000140728;0,000194539;0,000305851;0,000331507
Bcu->Resp;0,000118693;0,000055042;8,43404E-05;0,000167929;0,000189603
Her->Poc;0,00061235;0,000132629;0,00022171;0,001279406;0,001613033
Her->Exp;0,002052805;0,00088569;0,001366922;0,002390086;0,002399351
Her->Resp;0,001080349;0,000719846;0,000730834;0,00170718;0,001996586
Bac->Cil;0,069738881;1,46925E-06;0,000961563;0,425620626;0,459681305
Bac->Tun;0,065543441;6,23572E-06;0,000976402;0,216558351;0,421374332
