Index;Mean;Q0;Q2.5;Q97.5;Q100
INTER;38,69095258;28,1930884;29,98456699;46,04757036;46,51289979
IMP;526,078781;509,8889853;510,2633786;538,7923639;539,0713401
EXP;499,5558472;487,9868251;488,3212257;509,5354217;509,7289332
TSTp;1090,848515;1047,973245;1050,617678;1123,489685;1124,039664
TSTf;564,7697336;538,0831668;540,3244618;584,7019365;585,1232624
INTER/TST;0,03539365;0,026902489;0,028538855;0,041276144;0,042218059
IMP/TST;0,482303175;0,47889097;0,479361928;0,485730573;0,486548756
EXP/TST;0,458025015;0,452149704;0,452857896;0,464832773;0,465750407
NPP;50,12516635;41,36691591;41,63812127;55,58896318;55,92599111
NPP/RESP;1,889956287;1,844296197;1,866787459;1,899763926;1,899998664
Herb;2,595612361;0,216364181;0,700984496;5,398678926;5,542067661
Det;15,9049535;12,65157315;12,86694749;17,85636148;18,18998934
Bact;0,135820039;0,00066727;0,007374626;0,508838718;0,544138964
APL;1,07342682;1,055292483;1,058754496;1,086106429;1,088157977
D/H;8,411092306;2,357460925;2,421677623;24,16742505;78,64208764
TE12;0,035536745;0,032343691;0,03284343;0,038093851;0,038550104
TE23;0,015448572;0,004318114;0,006157727;0,032848576;0,037579828
MTL;2,058138342;2,035980628;2,04531808;2,093931116;2,145438011
SOI;0,112455398;0,024920149;0,052751776;0,222813046;0,360590261
H;2,074674606;1,871571466;1,90658995;2,151144816;2,15582931
Ov/DC;0,434716313;0,381622392;0,394352133;0,453296591;0,454300976
A/DC;0,565283687;0,545699024;0,546703409;0,605647867;0,618377608
R/DC;0,070416636;0,055847272;0,057424916;0,082021101;0,0835395
AMI;1,171392756;1,147521991;1,149552282;1,181626079;1,184180726
Ai/DCi;0,427821632;0,378805402;0,385391864;0,481943003;0,501241275
ELD;1,051984402;1,040797158;1,042797365;1,062594323;1,063808679
Ceff;1,051984402;1,040797158;1,042797365;1,062594323;1,063808679
LDq;0,58120376;0,565922117;0,567478533;0,597340124;0,598635755
FCI;0,000199666;5,7794E-06;2,84411E-05;0,000441108;0,000557283
NCycles;183;183;183;183;183
C_cycled;0,849115591;0,033842227;0,162075334;1,931009896;2,418981868
C_cycled.small;0,74050739;0,025717767;0,119672509;1,839754391;2,322703732
C_cycled.big;0,108608202;0,00812446;0,023566074;0,312835715;0,476060546
