Flow;Mean;Q0;Q2.5;Q97.5;Q100
Biv->Bcu;2,29749E-06;6,12128E-10;6,85766E-08;7,89831E-06;1,53045E-05
Biv->Her;0,000342506;3,30076E-08;1,00977E-05;0,001117128;0,001989066
Biv->Poc;0,077726514;0,004467348;0,03465358;0,118753595;0,1344063
Biv->Exp;0,155499926;0,000166838;0,049840184;0,239847834;0,275077031
Biv->Resp;0,082944569;0,007079535;0,05837418;0,091371115;0,091520192
Gastr->Hydro;0,000896783;4,32835E-08;0,000025593;0,00290853;0,004581599
Gastr->Ppil;3,63777E-05;8,51368E-09;1,18853E-06;0,000118084;0,000204487
Gastr->Mlei;0,000145727;1,11535E-08;3,51426E-06;0,000498038;0,000986308
Gastr->Bcu;2,29362E-06;7,08543E-10;7,69556E-08;7,81844E-06;1,44992E-05
Gastr->Her;0,000345302;5,40387E-09;1,01155E-05;0,001119103;0,002052253
Gastr->Poc;0,022583917;0,001191995;0,012043322;0,036106275;0,042236092
Gastr->Exp;0,072181008;0,00467834;0,051010189;0,089208383;0,098338737
Gastr->Resp;0,033954809;0,00220707;0,022177879;0,046605442;0,050632177
Poly->Ppil;3,54154E-05;2,09573E-09;1,03101E-06;0,000118688;0,000236646
Poly->Mlei;0,000142554;2,42772E-08;3,65555E-06;0,000471179;0,00095065
Poly->Bcu;2,26432E-06;1,23397E-10;6,74218E-08;7,53722E-06;0,000014951
Poly->Her;0,000333589;1,84252E-08;9,71467E-06;0,001109354;0,001943454
Poly->Poc;0,234848681;0,012748814;0,075978367;0,42001965;0,444580614
Poly->Exp;0,769911543;0,04641036;0,237900002;0,900431271;0,902474293
Poly->Resp;0,502055537;0,026592433;0,106500661;0,682810904;0,706197323
Hydro->Ppil;3,61142E-05;1,28234E-08;1,03399E-06;0,000120052;0,000227572
Hydro->Mlei;0,000141818;2,0725E-08;4,2367E-06;0,00048216;0,000878364
Hydro->Poc;0,000933912;5,63189E-05;0,000504123;0,001549875;0,001826949
Hydro->Exp;0,002926949;0,000176035;0,00194383;0,003670469;0,003890974
Hydro->Resp;0,001479466;0,00011559;0,000910318;0,002158332;0,002424344
Ppil->Bcu;2,29705E-06;1,30576E-10;5,48051E-08;7,99976E-06;1,79989E-05
Ppil->Poc;5,64646E-05;3,79502E-06;3,27426E-05;9,30983E-05;0,000106278
Ppil->Exp;0,000189219;1,53937E-05;0,000143157;0,00023239;0,000251557
Ppil->Resp;8,98895E-05;7,09496E-06;6,22487E-05;0,000127301;0,000143537
Mlei->Bcu;2,25366E-06;7,06231E-10;5,94204E-08;7,65332E-06;0,000018475
Mlei->Poc;0,000260837;2,37871E-05;0,00013805;0,000423637;0,000485477
Mlei->Exp;0,00075423;9,38995E-05;0,000604551;0,000814101;0,000817434
Mlei->Resp;0,000403718;6,85655E-05;0,000256568;0,000578728;0,000641455
Bcu->Poc;8,21653E-06;3,98293E-09;2,90767E-07;2,11931E-05;2,59974E-05
Bcu->Exp;8,40766E-06;4,16509E-09;2,88814E-07;2,1303E-05;2,56529E-05
Bcu->Resp;8,30271E-06;9,99178E-10;2,72936E-07;2,10451E-05;2,62577E-05
Her->Poc;0,000406301;9,87008E-05;0,000162223;0,000751333;0,000897267
Her->Exp;0,001345872;0,000747288;0,001058451;0,001465178;0,0014692
Her->Resp;0,000778609;0,000548834;0,000558551;0,001114759;0,001237831
Bac->Cil;0,544538487;9,73454E-06;0,002676898;2,923489923;3,043831441
Bac->Tun;0,005707398;6,21527E-07;0,000167361;0,018416128;0,033874191
Bac->Biv;0,003617504;2,47385E-08;0,000169938;0,007899603;0,008989232
Bac->Poc;1,709621076;0,000822775;0,010516241;4,754215345;4,965655957
Bac->Exp;5,297233864;2,10817E-05;0,018633234;11,50945984;11,91490693
Bac->Resp;21,58596509;0,00882015;0,088066377;38,2136477;38,64625932
Doc->Bac;29,14668342;0,019457463;0,147767997;48,82274115;49,78855201
Poc->Cil;0,375800631;8,32486E-06;0,00190842;2,282477221;2,649245672
Poc->Nsci;8,61277E-05;5,13793E-06;2,46979E-05;0,00016794;0,000239903
Poc->Tun;0,005607122;1,09985E-06;0,000153235;0,018146121;0,034287738
Poc->Clado;0,000254333;5,10694E-08;8,10066E-06;0,000763244;0,001207756
Poc->Cop;0,013629158;5,93109E-07;0,000472414;0,040741115;0,077344055
Poc->Biv;0,023405356;1,92298E-06;0,000770564;0,06102645;0,097046047
Poc->Gastr;0,013795397;4,09535E-07;0,000396835;0,046748366;0,105796665
Poc->Poly;0,059203734;4,76154E-06;0,001080071;0,482219286;0,704354556
Poc->Exp;411,1056652;388,2919107;388,2950118;526,3332332;527,4332421
Imp->Dia;98,17047862;78,59048101;79,29106967;123,6138607;123,6230572
Imp->Phae;222,0268773;159,5396673;159,8351478;284,7406014;284,8427646
Imp->Cil;0,212767595;5,97369E-07;0,003285321;1,192535287;1,330478871
Imp->Nsci;4,37629E-05;2,24077E-08;1,34129E-06;0,000137208;0,000219446
Imp->Tun;0,005876552;1,49587E-06;0,000178507;0,018385848;0,032185188
Imp->Clado;0,000255707;8,6885E-10;8,33681E-06;0,000758492;0,00118782
Imp->Cop;0,336260425;7,09707E-06;0,017675852;0,675761992;0,736773463
Imp->Biv;0,203710806;3,10822E-06;0,009170427;0,40770484;0,442114771
Imp->Gastr;0,05488432;9,30171E-07;0,002443417;0,117319258;0,137807675
Imp->Poly;0,178358135;8,20849E-05;0,002855495;1,009146245;1,180367784
Imp->Hydro;0,00088744;1,62239E-08;2,53503E-05;0,002853373;0,004793002
Imp->Ppil;3,55401E-05;1,79701E-09;1,16287E-06;0,000120703;0,000196151
Imp->Mlei;0,000144847;1,24953E-08;3,81495E-06;0,000490586;0,000969316
Imp->Bcu;2,31715E-06;3,91212E-10;6,46543E-08;7,8166E-06;1,54934E-05
Imp->Her;0,000342041;1,04041E-08;9,32509E-06;0,001093407;0,001969297
Imp->Doc;0,917957197;0,000177393;0,054992487;1,686221522;1,851860803
Imp->Poc;359,6692306;294,3625181;294,8588742;388,4063713;388,48353
Doc->Exp;40,83763987;22,772792;23,2226686;79,14420518;80,95810402
