Index;Mean;Q0;Q2.5;Q97.5;Q100
INTER;157,8251673;104,7207466;105,3351308;283,5064122;285,3369823
IMP;681,7781132;605,5196523;607,7394728;797,6971069;799,1121128
EXP;621,1154478;561,4540887;563,3124268;722,7881393;724,2908116
TSTp;1521,381394;1323,109048;1326,761632;1877,230253;1879,858679
TSTf;839,6032805;717,3557654;719,0143583;1079,930106;1080,783808
INTER/TST;0,100672263;0,07594305;0,076265911;0,151261883;0,152137028
IMP/TST;0,449663868;0,423931486;0,424369058;0,461867045;0,462028475
EXP/TST;0,410234583;0,384160008;0,384520501;0,428145924;0,428415853
NPP;282,7031781;218,2463104;218,8185498;371,5472932;372,1287475
NPP/RESP;4,730590822;3,737272539;3,751353271;4,972949358;4,973872521
Herb;6,082017889;0,743492591;1,021991697;8,593949169;9,145339368
Det;29,63846528;0,057651406;0,235660705;48,91660138;49,8449168
Bact;0,553863389;0,002278968;0,010611858;2,929262679;3,052145821
APL;1,225716237;1,164368764;1,165125248;1,356439472;1,358871737
D/H;8,090825253;0,007648884;0,030083069;26,35517248;38,9422612
TE12;0,051433179;0,01011794;0,010638465;0,071842456;0,073439236
TE23;0,037322457;0,000761237;0,00570145;0,098902376;0,121197655
MTL;2,194014686;2,034597168;2,074364686;2,447619235;2,590751965
SOI;0,180809508;0,059347667;0,106300393;0,297167803;0,429738835
H;3,106288529;2,989185936;2,995189342;3,23464977;3,238061772
Ov/DC;0,624464231;0,596138246;0,598218551;0,673700278;0,674197191
A/DC;0,375535769;0,325802809;0,326299722;0,401781449;0,403861754
R/DC;0,126895334;0,09560132;0,097235028;0,171032559;0,171730975
AMI;1,164491586;1,046429556;1,049359199;1,222216802;1,225678277
Ai/DCi;0,327412287;0,16410688;0,165595767;0,392200318;0,394505281
ELD;1,148024355;1,104160778;1,107416941;1,211188798;1,211995664
Ceff;1,148024355;1,104160778;1,107416941;1,211188798;1,211995664
LDq;0,734385941;0,661387195;0,665948355;0,847025879;0,848401116
FCI;0,000402587;6,33371E-06;1,7341E-05;0,002680789;0,003278647
NCycles;183;183;183;183;183
C_cycled;1,028706643;0,033904627;0,099675116;5,383958386;6,170888499
C_cycled.small;0,750399141;0,023219778;0,063355009;4,477525289;5,612897812
C_cycled.big;0,278307502;0,0045663;0,010761385;1,453910129;2,0039369
