Flow;Mean;Q0;Q2.5;Q97.5;Q100
Biv->Resp;0,040296473;0,003102415;0,02964997;0,044998536;0,045179231
Gastr->Hydro;0,005819644;5,97275E-07;0,000189878;0,018735842;0,031549422
Gastr->Ppil;0,001524872;3,90152E-07;3,52279E-05;0,005117396;0,011057833
Gastr->Mlei;0,000695743;3,44258E-05;0,000361249;0,001077029;0,001177172
Gastr->Bcu;0,000139864;1,7923E-08;3,68393E-06;0,000478707;0,000922398
Gastr->Her;0,000385709;6,67383E-05;9,93111E-05;0,000731929;0,000816859
Gastr->Poc;0,051333696;0,002152685;0,025457729;0,087290798;0,102937426
Gastr->Exp;0,164390561;0,007510721;0,099219921;0,214352565;0,231459007
Gastr->Resp;0,08070978;0,003157324;0,047019731;0,116850418;0,125183225
Poly->Ppil;0,001542763;3,07512E-07;4,16342E-05;0,005172597;0,011841264
Poly->Mlei;0,003300834;4,02411E-07;0,00014289;0,00863755;0,011673991
Poly->Bcu;0,000141563;6,55115E-09;4,16868E-06;0,000473678;0,001013405
Poly->Her;0,001505345;1,03591E-06;6,38452E-05;0,003887323;0,004946112
Poly->Poc;0,409532342;0,021275183;0,209005705;0,64837062;0,805964879
Poly->Exp;1,331603149;0,059836545;0,83168145;1,63888578;1,660065626
Poly->Resp;0,688602428;0,030183156;0,372126817;1,0418148;1,28191233
Hydro->Ppil;0,001541896;4,61291E-07;4,84863E-05;0,005154552;0,010049841
Hydro->Mlei;0,00185583;0,000197085;0,000419042;0,003555751;0,00398856
Hydro->Poc;0,006203804;0,000448519;0,003180956;0,010348094;0,011928671
Hydro->Exp;0,015857026;0,000776431;0,00930959;0,020106537;0,021759476
Hydro->Resp;0,009726803;0,000715403;0,005822801;0,014372851;0,015985209
Ppil->Bcu;0,00013919;2,36086E-08;4,09913E-06;0,000477596;0,000953627
Ppil->Poc;0,002390629;0,000855469;0,001398996;0,003972086;0,004621064
Ppil->Exp;0,008007016;0,003337358;0,006097793;0,009902348;0,010787618
Ppil->Resp;0,003825211;0,001770612;0,002621655;0,005451294;0,006130613
Mlei->Bcu;0,000139433;4,41262E-08;3,59946E-06;0,000477656;0,000870337
Mlei->Poc;0,006589233;0,000356033;0,003443332;0,010788861;0,012163517
Mlei->Exp;0,018902704;0,0013915;0,014897254;0,020548942;0,020671129
Mlei->Resp;0,010126123;0,000963532;0,00647237;0,014629328;0,016194067
Bcu->Poc;0,000253436;0,000016026;0,00014861;0,000416398;0,000476483
Bcu->Exp;0,000862704;0,000075709;0,000674249;0,001049127;0,001130891
Bcu->Resp;0,000405572;2,43153E-05;0,00028681;0,0005743;0,000646314
Her->Poc;0,001829067;0,000204522;0,000601504;0,003562671;0,004032342
Her->Exp;0,0046806;0,001326765;0,00357897;0,005123675;0,005137168
Her->Resp;0,00214506;0,000886616;0,000938875;0,003790674;0,004395957
Bac->Cil;0,446075314;7,72943E-05;0,009418236;1,411834413;2,323472084
Bac->Tun;0,507057514;0,000111266;0,011277556;1,577147968;4,680473589
Bac->Biv;0,001809857;7,32999E-07;7,51712E-05;0,003795503;0,004339589
Bac->Poc;0,54121869;0,005298154;0,023943893;1,765849216;2,576881098
Bac->Exp;0,812678673;7,16245E-05;0,014669836;2,478712011;4,695653362
Bac->Resp;1,38868974;0,027090317;0,130955642;3,42665533;4,566262769
Doc->Bac;3,697529789;0,068268255;0,298041114;10,04306874;14,85244534
Poc->Cil;0,386562017;5,69832E-05;0,023334601;0,974882163;1,263895319
Poc->Nsci;38,758707;12,62353452;14,99538837;85,23129244;86,20810649
Poc->Tun;0,590298664;0,000328262;0,025430538;2,336478607;2,754254901
Poc->Clado;0,000978781;8,11088E-07;3,06844E-05;0,002893605;0,004389655
Poc->Cop;2,358780058;0,039674063;0,499842605;4,803485481;5,338813589
Poc->Biv;0,019625554;2,48693E-06;0,000887501;0,042656176;0,051437092
Poc->Gastr;0,073432465;1,60822E-06;0,002422256;0,218587907;0,333574786
Poc->Poly;0,313350394;0,000512326;0,017172142;0,902280039;1,172167803
Poc->Exp;385,6340741;329,0794155;329,1373126;660,8336078;667,1507575
Imp->Dia;138,8893363;102,6473226;113,1253283;157,992152;158,1227449
Imp->Phae;0,120238078;0,069943607;0,093966957;0,131398958;0,131757095
Imp->Cil;0,575957411;2,00455E-05;0,02744251;1,773641317;3,045414872
Imp->Nsci;127,2290794;1,943031442;3,155137614;271,3565202;273,2629953
Imp->Tun;1,866218348;0,001129365;0,050128942;6,18769451;8,799589367
Imp->Clado;0,000984296;3,55345E-07;3,39893E-05;0,002905406;0,004222503
Imp->Cop;0,372140863;2,31833E-05;0,023603791;0,803922635;0,98810018
Imp->Biv;0,074134151;2,61405E-06;0,003531752;0,160890357;0,197321974
