year;season;Dia;Nsci;Phae;Cil;Cop;Clado;Tun;Poly;Biv;Gastr;Mlei;Ppil;Bcu;Hydro;Her;Poc
2009;2009 spring;54,47766667;0;128,2027222;3,916166667;3,030923627;0,00836;0,040109928;4,139181853;3,896363564;0,840477778;0,014435918;0,005354975;0;0,068349186;0,304905156;501,2895103
2009;2009 summer;25,60061111;518,9275556;0,021333333;0,973722222;6,992399875;0,013786667;3,906169925;4,48985955;0,950069239;0,817027778;0,124810544;0,087107596;0,022129176;0,174727812;0,492262179;424,8450147
2009;2009 autumn;28,20666667;24,78333333;0,263333333;0,365;0,741280462;0,00323;0,713152516;1,610287543;0,478527433;0,034515152;0,224839427;0,074344906;0,05227064;0,39927255;0,399877599;584,5640828
2010;2010 winter;5,525;0;0;0,89;0,641848381;0;0,041255926;0,87270445;0,021225007;0;0,104660408;0,176714181;0,137353506;0;0,143626274;982,0126147
2010;2010 spring;240,6041667;0;14,83666667;33,49416667;3,182411424;0,002714074;0,027503951;6,611317016;4,428874239;2,358228205;0,001202993;0,000892496;0;0,607433252;0,388237561;582,4291911
2010;2010 summer;31,46233333;176,73;14,50716667;3,585333333;4,089753418;0,22288;4,551883764;12,00791512;5,025744613;1,896615385;0,053713646;0,012673441;0;0,30160607;29,16335359;388,4976493
2010;2010 autumn;37,3465;414,1188333;22,88633333;3,171166667;1,269135386;0;1,138378072;3,633433926;0,973664284;0,021617521;0,721194418;0,084340859;0,162153445;0,404924981;0,402417677;574,3908417
2011;2011 winter;17,63494444;0;0;2,959777778;0,661011812;0;0;1,346458294;0,048885984;0;0;0,001338744;0,234645573;0,191377721;0,012826088;925,2705412
