;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Pandalus;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;107044;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
Station 1;10.01.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;17.01.2018;53,03000;8,46000;surface - 1m;Petra Kadel;5;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;24.01.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;31.01.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;07.02.2018;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;21.02.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;14.03.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;19.03.2018;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;21.03.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;19;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;26.03.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;28.03.2018;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;40;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;03.04.2018;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;1;53;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;06.04.2018;53,03000;8,46000;surface - 1m;Petra Kadel;7;0;0;0;41;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;11.04.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;52;9;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;16.04.2018;53,03000;8,46000;surface - 1m;Petra Kadel;15;0;0;3;46;10;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;18.04.2018;53,03000;8,46000;surface - 1m;Petra Kadel;18;0;0;3;8;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;23.04.2018;53,03000;8,46000;surface - 1m;Petra Kadel;86;0;0;0;16;10;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;25.04.2018;53,03000;8,46000;surface - 1m;Petra Kadel;351;0;0;0;11;4;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;27.04.2018;53,03000;8,46000;surface - 1m;Petra Kadel;542;0;0;0;25;3;0;0;1;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Station 1;02.05.2018;53,03000;8,46000;surface - 1m;Petra Kadel;218;0;0;1;68;8;0;0;1;16;0;0;0;0;0;0;0;1;0;2;0;0;0;1
Station 1;07.05.2018;53,03000;8,46000;surface - 1m;Petra Kadel;70;0;0;1;40;2;0;0;0;70;0;0;0;0;0;0;0;4;0;0;0;0;0;0
Station 1;09.05.2018;53,03000;8,46000;surface - 1m;Petra Kadel;193;0;0;1;52;7;0;0;0;73;0;0;0;0;0;0;0;8;0;1;0;0;0;0
Station 1;14.05.2018;53,03000;8,46000;surface - 1m;Petra Kadel;315;0;0;0;273;0;0;0;0;172;2;6;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;16.05.2018;53,03000;8,46000;surface - 1m;Petra Kadel;407;0;0;1;310;0;1;0;0;212;10;7;0;1;0;0;7;1;0;0;0;0;0;0
Station 1;28.05.2018;53,03000;8,46000;surface - 1m;Petra Kadel;141;0;0;0;100;0;0;0;0;91;1;12;0;0;0;0;4;0;0;0;3;0;0;0
Station 1;30.05.2018;53,03000;8,46000;surface - 1m;Petra Kadel;128;0;0;21;167;0;0;0;1;62;10;3;0;0;0;0;6;0;0;0;11;0;0;0
Station 1;11.06.2018;53,03000;8,46000;surface - 1m;Petra Kadel;131;0;0;0;116;0;0;0;29;19;0;11;0;2;14;0;1;0;0;0;5;1;0;0
Station 1;18.06.2018;53,03000;8,46000;surface - 1m;Petra Kadel;99;0;0;3;90;0;0;0;15;1;0;0;1;1;0;0;14;0;0;2;1;0;0;0
Station 1;20.06.2018;53,03000;8,46000;surface - 1m;Petra Kadel;101;0;0;2;57;0;1;0;17;1;0;1;0;0;1;0;14;2;1;1;5;0;0;0
Station 1;25.06.2018;53,03000;8,46000;surface - 1m;Petra Kadel;109;0;0;0;48;0;1;0;7;4;1;21;0;0;0;0;4;1;8;1;0;0;0;0
Station 1;27.06.2018;53,03000;8,46000;surface - 1m;Petra Kadel;77;0;0;0;80;0;0;0;2;6;5;5;0;1;0;0;6;0;4;0;0;0;0;0
Station 1;02.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;312;0;0;1;38;0;0;0;4;1;2;1;1;0;0;0;5;1;71;3;0;0;0;0
Station 1;04.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;661;0;0;0;28;0;2;0;4;0;2;0;0;0;0;0;5;0;108;8;0;0;0;0
Station 1;09.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;110;0;0;0;66;0;0;0;3;0;0;3;0;0;0;0;4;0;87;2;0;0;0;0
Station 1;11.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;45;0;0;0;137;0;0;0;3;0;2;1;0;0;0;0;0;1;21;0;0;0;0;0
Station 1;16.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;424;0;0;0;56;0;0;0;1;0;0;0;0;3;0;0;1;1;63;0;0;0;0;0
Station 1;18.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;509;0;0;0;35;0;0;0;1;1;0;0;0;0;0;0;1;0;158;0;0;0;0;0
Station 1;23.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;117;0;0;0;70;0;0;0;0;0;1;5;0;0;0;0;0;0;109;0;0;0;0;0
Station 1;25.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;59;0;0;1;129;0;0;0;2;0;3;0;0;0;0;0;0;0;42;0;0;0;0;0
Station 1;30.07.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1825;0;0;0;36;0;0;0;1;0;1;2;0;4;0;0;0;0;22;0;0;0;0;0
Station 1;01.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1125;0;0;2;21;0;0;0;0;1;1;0;0;0;0;0;0;1;19;0;0;0;0;0
Station 1;06.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;340;0;0;3;29;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0
Station 1;09.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;13.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;67;0;0;0;22;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;15.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;28;0;0;0;11;0;0;0;0;1;0;4;0;0;0;0;0;0;6;0;0;0;0;0
Station 1;20.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;36;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
Station 1;22.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;97;0;0;3;59;0;0;0;0;1;1;0;0;0;0;0;0;0;5;0;0;0;0;0
