;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal;21.01.2021;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;08.02.2021;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;11.02.2021;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;15.02.2021;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;18.02.2021;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;11.03.2021;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;08.04.2021;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;114;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;14.06.2021;55,01553;8,43990;surface - 1m;Petra Kadel;67;0;0;0;109;0;0;0;0;30;0;0;0;0;0;2;0;0;0;0;0;0;0
List Ferry Terminal;21.06.2021;55,01553;8,43990;surface - 1m;Petra Kadel;22;0;0;0;17;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
List Ferry Terminal;24.06.2021;55,01553;8,43990;surface - 1m;Petra Kadel;60;0;0;0;17;0;0;0;1;7;0;3;0;0;0;0;0;0;0;1;0;0;0
List Ferry Terminal;01.10.2021;55,01553;8,43990;surface - 1m;Petra Kadel;390;0;0;0;49;0;0;0;0;1;0;0;1;0;0;0;0;23;1;0;0;0;0
List Ferry Terminal;02.12.2021;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;8;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
List Ferry Terminal;06.12.2021;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;08.12.2021;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;13.12.2021;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal;20.12.2021;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
