;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
Station 1;06.01.2017;53,03000;8,46000;surface - 1m;Petra Kadel;6;0;0;0;28;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
Station 1;13.01.2017;53,03000;8,46000;surface - 1m;Petra Kadel;9;0;0;0;32;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;16.01.2017;53,03000;8,46000;surface - 1m;Petra Kadel;15;0;0;0;50;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;18.01.2017;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;25.01.2017;53,03000;8,46000;surface - 1m;Petra Kadel;5;0;0;0;30;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;01.02.2017;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;08.02.2017;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;15.02.2017;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;27.02.2017;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;5;60;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;01.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;5;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;03.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;06.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;1;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;09.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;34;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;13.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;20.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;2;16;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;22.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;10;0;0;0;20;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;28.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
