;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;17.03.2017;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;1;12;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;31.03.2017;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;7;30;4;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
List Ferry Terminal ;07.04.2017;55,01553;8,43990;surface - 1m;Petra Kadel;27;0;0;7;27;4;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;14.04.2017;55,01553;8,43990;surface - 1m;Petra Kadel;409;0;0;9;13;1;0;0;0;0;0;39;0;0;0;0;4;0;1;0;0;0;0
List Ferry Terminal ;21.04.2017;55,01553;8,43990;surface - 1m;Petra Kadel;323;0;0;44;9;6;1;0;0;2;0;20;0;0;0;13;2;1;4;0;0;0;0
List Ferry Terminal ;28.04.2017;55,01553;8,43990;surface - 1m;Petra Kadel;250;0;0;15;11;5;7;0;0;2;0;36;0;0;0;3;1;26;2;0;0;0;0
List Ferry Terminal ;12.05.2017;55,01553;8,43990;surface - 1m;Petra Kadel;482;0;0;1;140;0;0;0;0;29;2;4;0;0;0;0;0;12;0;0;0;0;0
List Ferry Terminal ;19.05.2017;55,01553;8,43990;surface - 1m;Petra Kadel;186;0;0;0;141;0;0;0;0;44;0;2;1;0;0;0;3;13;0;5;0;0;0
List Ferry Terminal ;26.05.2017;55,01553;8,43990;surface - 1m;Petra Kadel;276;0;0;0;58;0;6;0;0;70;2;9;23;0;0;1;1;17;8;6;2;0;0
List Ferry Terminal ;01.06.2017;55,01553;8,43990;surface - 1m;Petra Kadel;222;0;0;3;66;0;0;0;0;38;0;1;34;0;0;2;1;15;0;21;1;0;0
List Ferry Terminal ;02.06.2017;55,01553;8,43990;surface - 1m;Petra Kadel;146;0;0;2;67;0;0;0;0;119;0;11;0;0;0;10;1;22;2;0;1;0;0
List Ferry Terminal ;07.06.2017;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;28;0;0;0;0;29;2;6;0;0;0;0;0;3;0;2;2;0;0
