;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;03.01.2018;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;14.02.2018;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;09.03.2018;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;36;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;23.03.2018;55,01553;8,43990;surface - 1m;Petra Kadel;16;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;30.03.2018;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;37;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;09.04.2018;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;49;14;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;13.04.2018;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;33;10;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;20.04.2018;55,01553;8,43990;surface - 1m;Petra Kadel;29;0;0;0;38;5;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;04.05.2018;55,01553;8,43990;surface - 1m;Petra Kadel;139;0;0;1;35;6;0;0;2;28;0;8;0;0;0;0;6;0;2;0;0;0;0
List Ferry Terminal ;11.05.2018;55,01553;8,43990;surface - 1m;Petra Kadel;813;0;0;0;304;0;0;0;0;166;0;7;0;0;0;2;4;0;0;0;0;0;0
List Ferry Terminal ;18.05.2018;55,01553;8,43990;surface - 1m;Petra Kadel;200;0;0;1;67;0;6;0;0;102;0;15;2;0;0;15;0;0;0;0;0;0;0
List Ferry Terminal ;21.05.2018;55,01553;8,43990;surface - 1m;Petra Kadel;18;0;0;1;14;0;5;0;0;10;1;0;0;0;0;1;0;0;0;0;0;0;0
List Ferry Terminal ;25.05.2018;55,01553;8,43990;surface - 1m;Petra Kadel;204;0;0;6;60;0;3;0;1;84;0;16;0;0;0;40;0;0;0;7;0;0;0
List Ferry Terminal ;01.06.2018;55,01553;8,43990;surface - 1m;Petra Kadel;62;0;0;14;98;0;2;0;0;42;1;7;0;0;0;5;0;0;0;0;0;0;0
