;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;01.01.2011;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.01.2011;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;13.01.2011;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;19.01.2011;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;26.01.2011;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;01.02.2011;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;09.02.2011;55,01553;8,43990;surface - 1m;Petra Kadel;5;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;16.02.2011;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;23.02.2011;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;01.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;09.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;13;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;16.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;18.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;21.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;23.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;25.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;28.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;30.03.2011;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;4;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;01.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;04.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;9;0;0;2;21;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;5;0;0;4;10;1;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;11.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;5;19;3;0;6;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;13.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;5;0;0;7;6;0;0;3;2;0;0;9;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;15.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;4;13;2;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;1
List Ferry Terminal ;18.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;9;0;0;10;18;11;0;1;2;0;0;38;0;0;0;0;0;0;0;0;0;0;1
List Ferry Terminal ;20.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;15;0;0;6;65;9;0;0;3;5;0;22;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;22.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;78;0;0;10;34;12;0;0;0;7;0;8;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;25.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;322;0;0;1;37;5;0;0;0;37;0;7;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;27.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;349;0;0;0;117;1;0;0;0;45;0;1;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;29.04.2011;55,01553;8,43990;surface - 1m;Petra Kadel;209;0;0;1;54;0;0;0;0;36;0;13;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;02.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;164;0;0;3;153;2;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;04.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;179;0;0;2;112;15;0;0;0;29;0;2;0;0;0;2;1;0;1;0;0;0;1
List Ferry Terminal ;06.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;262;0;0;4;79;19;0;0;0;61;0;5;0;0;0;3;1;0;0;0;0;0;0
List Ferry Terminal ;09.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;130;2;0;6;47;19;0;0;0;73;0;4;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;11.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;260;7;0;2;26;26;1;0;0;60;0;1;0;0;0;3;1;0;0;0;0;0;0
List Ferry Terminal ;13.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;816;0;0;4;68;28;1;0;0;31;0;2;0;0;0;1;2;0;0;1;0;0;0
List Ferry Terminal ;16.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;266;0;0;0;87;9;0;0;0;105;0;0;0;0;0;0;1;0;0;0;0;0;0
List Ferry Terminal ;18.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;86;0;0;2;15;3;0;0;0;25;0;3;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;20.05.2011;55,01553;8,43990;surface - 1m;Petra Kadel;229;5;0;2;80;4;0;0;0;74;0;13;0;0;0;1;0;0;2;0;0;0;6
