;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;02.01.2013;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;09.01.2013;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;16.01.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;23.01.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;30.01.2013;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.02.2013;55,01553;8,43990;surface - 1m;Petra Kadel;10;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;13.02.2013;55,01553;8,43990;surface - 1m;Petra Kadel;5;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;20.02.2013;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;27.02.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;09.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;13.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;15.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;20.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;1;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;22.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;17;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;25.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;14;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;27.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;29.03.2013;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;1;30;9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;01.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;23;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;03.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;44;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;05.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;3;21;13;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;3;10;20;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;10.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;4;1;0;6;15;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;12.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;8;7;15;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;15.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;3;1;5;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;17.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;5;0;0;5;16;12;0;0;0;0;0;319;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;19.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;11;12;55;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;22.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;5;3;14;0;1;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;24.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;5;3;15;0;5;0;0;0;1801;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;26.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;10;1;0;18;9;19;0;2;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;29.04.2013;55,01553;8,43990;surface - 1m;Petra Kadel;26;1;0;14;8;16;0;1;11;0;0;14;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;01.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;87;1;0;32;28;14;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;03.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;16;0;0;3;12;1;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;19;0;0;15;32;7;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;10;2;0;12;15;9;0;0;0;6;0;11;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;10.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;8;0;0;2;11;3;0;0;8;6;0;3;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;13.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;1;1;0;4;12;15;1;0;0;14;0;8;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;15.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;7;22;16;1;0;0;10;0;2;0;0;0;0;1;0;0;0;0;0;1
List Ferry Terminal ;17.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;20;1;0;0;85;1;1;0;1;56;0;4;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;20.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;37;0;0;0;163;8;0;0;1;143;0;3;0;0;0;0;0;2;19;0;0;0;0
List Ferry Terminal ;22.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;27;0;0;1;63;2;0;0;0;72;0;26;0;0;0;0;3;0;5;0;0;0;0
List Ferry Terminal ;24.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;260;0;0;6;78;10;4;0;0;145;1;34;0;0;0;6;6;4;28;0;0;1;0
List Ferry Terminal ;27.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;189;0;0;2;44;0;0;0;0;77;0;5;0;0;0;1;0;0;3;0;0;0;0
List Ferry Terminal ;29.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;435;0;0;0;100;1;0;0;0;206;1;37;0;0;0;10;0;0;10;0;0;0;1
List Ferry Terminal ;31.05.2013;55,01553;8,43990;surface - 1m;Petra Kadel;244;2;0;1;75;0;0;0;0;161;2;7;0;0;0;8;1;0;0;0;0;0;0
List Ferry Terminal ;03.06.2013;55,01553;8,43990;surface - 1m;Petra Kadel;255;1;0;0;543;2;1;0;0;345;0;1;1;0;0;3;3;0;3;0;0;0;0
List Ferry Terminal ;05.06.2013;55,01553;8,43990;surface - 1m;Petra Kadel;297;0;0;1;94;3;8;0;0;436;0;5;0;0;0;3;1;0;7;4;0;0;0
List Ferry Terminal ;07.06.2013;55,01553;8,43990;surface - 1m;Petra Kadel;218;0;0;1;113;1;6;0;0;441;2;15;0;0;0;3;0;0;0;1;0;0;0
List Ferry Terminal ;10.06.2013;55,01553;8,43990;surface - 1m;Petra Kadel;158;3;0;1;44;4;57;0;0;127;1;1;0;0;0;13;1;0;13;0;0;0;0
List Ferry Terminal ;12.06.2013;55,01553;8,43990;surface - 1m;Petra Kadel;44;0;0;0;35;0;27;0;0;108;0;2;2;0;0;3;0;0;3;0;0;0;0
