;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;18.05.2020;55,01553;8,43990;surface - 1m;Petra Kadel;884;0;0;1;311;0;3;0;2;66;0;1;2;0;0;0;6;6;0;0;1;0;0
List Ferry Terminal ;08.06.2020;55,01553;8,43990;surface - 1m;Petra Kadel;30;0;0;0;28;0;0;0;0;47;1;17;0;0;0;3;0;10;0;1;1;0;0
List Ferry Terminal ;11.06.2020;55,01553;8,43990;surface - 1m;Petra Kadel;17;0;0;1;105;0;0;0;0;21;0;10;0;0;0;1;0;4;0;0;0;0;3
List Ferry Terminal ;15.06.2020;55,01553;8,43990;surface - 1m;Petra Kadel;45;0;0;0;41;0;0;0;0;12;1;5;0;5;0;0;0;6;0;3;0;0;1
List Ferry Terminal ;18.06.2020;55,01553;8,43990;surface - 1m;Petra Kadel;141;0;0;0;55;0;0;0;1;510;10;7;0;0;0;3;0;3;0;10;1;0;0
List Ferry Terminal ;22.06.2020;55,01553;8,43990;surface - 1m;Petra Kadel;47;0;0;0;22;0;0;0;2;24;1;3;1;0;0;0;0;11;0;6;2;0;0
List Ferry Terminal ;26.06.2020;55,01553;8,43990;surface - 1m;Petra Kadel;56;0;0;0;17;0;0;0;0;10;0;38;0;0;0;0;0;5;0;1;1;0;0
List Ferry Terminal ;31.08.2020;55,01553;8,43990;surface - 1m;Petra Kadel;27;0;0;0;31;0;0;0;2;4;0;0;0;0;0;1;0;4;0;0;0;0;0
List Ferry Terminal ;14.09.2020;55,01553;8,43990;surface - 1m;Petra Kadel;24;0;0;0;42;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0
List Ferry Terminal ;17.09.2020;55,01553;8,43990;surface - 1m;Petra Kadel;12;0;0;1;78;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
List Ferry Terminal ;21.09.2020;55,01553;8,43990;surface - 1m;Petra Kadel;32;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
List Ferry Terminal ;25.09.2020;55,01553;8,43990;surface - 1m;Petra Kadel;16;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0
List Ferry Terminal ;05.10.2020;55,01553;8,43990;surface - 1m;Petra Kadel;49;0;0;0;52;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;22.10.2020;55,01553;8,43990;surface - 1m;Petra Kadel;42;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;7;4;0;0;0;0
List Ferry Terminal ;09.11.2020;55,01553;8,43990;surface - 1m;Petra Kadel;17;0;0;0;10;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0
List Ferry Terminal ;30.11.2020;55,01553;8,43990;surface - 1m;Petra Kadel;8;0;0;0;29;0;0;0;0;0;1;5;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
