;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Palaemon ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;107032;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;21.01.2015;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;11.02.2015;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;04.03.2015;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
List Ferry Terminal ;11.03.2015;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;13.03.2015;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;16.03.2015;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;19.03.2015;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;23.03.2015;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;41;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;01.04.2015;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;0;32;6;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
