Index;Mean;Q0;Q2.5;Q97.5;Q100
GPP;341,210729;316,9925316;319,3405405;388,9215265;389,4806093
BP;3,581278814;0,024009653;0,719868427;8,91627735;11,47585824
Egestion;67,49511018;16,31412597;17,49170173;123,0523622;129,3644684
Respiration;61,29624048;52,95508131;54,27632389;74,13573835;75,23085049
