Flow;Mean;Q0;Q2.5;Q97.5;Q100
Dia->Cil;25,82270751;0,007679148;0,434807402;43,09203928;44,29589641
Dia->Nsci;1,83416E-05;1,05135E-08;5,01009E-07;5,80062E-05;8,92007E-05
Dia->Tun;0,004054854;9,80234E-07;0,000128069;0,012984504;0,024548974
Dia->Clado;7,07215E-05;1,14421E-09;2,56165E-06;0,000209118;0,000317733
Dia->Cop;0,834605777;0,822440488;0,822809495;0,858823935;0,876179847
Dia->Biv;0,111626443;0,000028332;0,004438603;0,29415175;0,392017539
Dia->Gastr;0,059302187;8,2308E-07;0,001723057;0,188651195;0,288389757
Dia->Poly;0,752484735;0,000190865;0,020849872;2,089857913;2,635173487
Dia->Mlei;6,94903E-05;1,69287E-08;1,84967E-06;0,000229576;0,000487302
Dia->Her;0,000390404;4,50764E-08;1,02334E-05;0,001264375;0,002116187
Dia->Doc;33,21528994;20,75351715;21,4089833;52,41501426;54,88644405
Dia->Poc;35,25059276;13,10756549;13,38314552;82,6047969;83,31887233
Dia->Exp;181,1718987;156,7771173;159,8706894;222,167445;223,3414629
Dia->Resp;42,00692637;29,10961365;32,4397064;58,0108525;58,97116152
Phae->Cil;1,626259271;0,000215085;0,059480328;6,247142899;6,795742394
Phae->Nsci;1,77721E-05;2,04304E-09;5,75696E-07;5,6268E-05;9,74917E-05
Phae->Tun;0,004074547;4,56838E-07;0,000114454;0,013420388;0,022089567
Phae->Clado;6,87479E-05;7,02954E-09;2,35716E-06;0,000209718;0,000312716
Phae->Cop;0,012013595;4,4231E-06;0,000472738;0,035226888;0,054917807
Phae->Biv;0,077921403;0,001042918;0,003798113;0,211559731;0,268249011
Phae->Gastr;0,050305677;0,000016391;0,001444755;0,162921104;0,273823823
Phae->Poly;0,185692235;1,86975E-05;0,004514372;0,595895824;2,236648532
Phae->Doc;3,11811339;1,005748758;1,221190777;5,457368365;5,751838295
Phae->Poc;2,656758714;0,639237768;0,778400725;5,721198773;9,050373991
Phae->Exp;9,198357369;1,606427641;4,127799136;10,74050541;11,23598151
Phae->Resp;5,051108105;1,226087084;1,366820342;8,297403464;10,07072957
Cil->Nsci;3,642E-05;1,24226E-08;1,06152E-06;0,000116636;0,000187793
Cil->Tun;0,004063148;2,20323E-06;0,000114269;0,01283566;0,022954043
Cil->Clado;6,95641E-05;9,12817E-09;2,19153E-06;0,000213519;0,000339763
Cil->Cop;0,116286317;0,000161688;0,004895012;0,233057864;0,272041585
Cil->Biv;0,005563223;0,000388045;0,002179084;0,009684468;0,011047631
Cil->Gastr;0,068966811;1,50495E-05;0,002171351;0,206246495;0,304211635
