Flow;Mean;Q0;Q2.5;Q97.5;Q100
Dia->Cil;9,346023801;0,004539005;0,337482931;13,80375117;14,19727298
Dia->Nsci;8,558946925;0,000329287;0,455920753;23,89140734;26,18900921
Dia->Tun;6,910379688;0,006051366;0,697901861;11,21293906;11,70631826
Dia->Clado;0,016620422;2,31203E-07;0,000480506;0,051601634;0,084311975
Dia->Cop;0,757062527;0,539237472;0,554980507;0,965471722;0,976692511
Dia->Biv;0,324404284;0,000168697;0,014334695;0,864502362;1,07943887
Dia->Gastr;0,192287049;7,85598E-05;0,006974603;0,573386321;0,805762329
Dia->Poly;3,440389485;0,000489005;0,223980709;7,589687411;8,994750403
Dia->Mlei;9,42985E-05;1,83447E-06;2,11074E-05;0,000175107;0,000194231
Dia->Her;0,003154525;0,00018738;0,00069247;0,005900772;0,006439909
Dia->Doc;15,78467897;8,119054322;8,661494701;27,81821698;33,0508425
Dia->Poc;16,41080257;3,345575829;3,55988217;46,96703246;48,63524335
Dia->Exp;26,62501184;17,07154696;19,54844058;38,01230766;40,57748868
Dia->Resp;12,30444634;6,844765415;7,451593088;26,38770814;28,39990037
Phae->Cil;1,055239176;0,000175238;0,039176369;3,488558774;4,232288771
Phae->Nsci;2,241736409;0,000204253;0,032824882;11,02794619;11,99842818
Phae->Tun;1,387244303;0,00052875;0,045376937;4,437273047;5,61926183
Phae->Clado;0,016989724;1,23192E-05;0,000542065;0,05134188;0,078063352
Phae->Cop;1,997082074;0,008678553;0,350381525;2,980547879;3,36008987
Phae->Biv;0,314477743;0,001110796;0,012842898;0,722407135;0,858294512
Phae->Gastr;0,10774438;2,75718E-05;0,003243631;0,340972537;0,588789518
Phae->Poly;2,242896813;0,001023786;0,068085565;5,523320429;7,207219988
Phae->Doc;8,501400311;3,164874699;4,2516744;14,65339151;17,3019136
Phae->Poc;14,00231188;1,297034618;1,59230547;27,10936355;28,49503685
Phae->Exp;12,78298672;4,418862364;5,168664362;17,56152064;18,0589212
Phae->Resp;7,62528472;3,333491866;4,147393083;12,52374294;13,21016488
Cil->Nsci;0,445524285;7,33433E-05;0,021563887;1,383954493;1,837044134
Cil->Tun;0,260284506;0,000035364;0,010967385;0,726750956;1,126205847
Cil->Clado;0,016307034;3,6301E-06;0,000488779;0,050021299;0,086032808
Cil->Cop;0,17879045;2,27446E-05;0,007638149;0,410371345;0,473880547
Cil->Biv;0,016285715;0,000709457;0,006626883;0,028053022;0,031654119
Cil->Gastr;0,177560312;0,000109677;0,004637757;0,544867294;0,795388469
Cil->Poly;0,989012834;0,000286559;0,032679766;3,690056155;4,215041436
Cil->Hydro;0,010015501;6,46356E-07;0,000307942;0,03346711;0,056575409
Cil->Ppil;0,000356182;3,26525E-08;9,28182E-06;0,0011918;0,00224231
Cil->Mlei;0,001551786;9,36613E-09;7,23778E-05;0,004121299;0,005535873
Cil->Bcu;8,28911E-05;1,56286E-09;2,74893E-06;0,000284028;0,000504452
Cil->Poc;8,364231023;0,007804271;0,60494545;11,44134616;11,96222273
Cil->Exp;0,419786649;0,00010989;0,028384417;1,112283819;1,476370698
Cil->Resp;1,73147858;0,894173105;0,928754335;2,763183721;2,84202918
Nsci->Ppil;0,000347296;1,35505E-08;8,79402E-06;0,001179692;0,002781809
Nsci->Mlei;0,002535035;0,000114251;0,000274417;0,005795227;0,00679544
Nsci->Bcu;8,35563E-05;7,00828E-09;2,32172E-06;0,000280618;0,000813998
Nsci->Poc;60,78860942;0,001703476;0,379114336;100,5523709;101,0666098
Nsci->Exp;20,38631807;2,315891904;2,819837921;70,03409205;72,5074311
Nsci->Resp;26,82723073;14,06763306;14,2235091;71,88615195;74,91714242
Tun->Hydro;0,009752947;3,6067E-06;0,000258225;0,032160864;0,057151088
Tun->Ppil;0,000345928;2,26838E-08;9,3965E-06;0,001175465;0,002231132
Tun->Mlei;0,00044824;3,75787E-05;0,000181782;0,00074659;0,000816243
Tun->Bcu;8,1075E-05;8,66588E-09;2,0998E-06;0,000277333;0,00057679
Tun->Her;0,026644279;0,004772052;0,006618657;0,048913878;0,05436766
Tun->Poc;4,104519424;0,145528482;0,730262803;5,270346928;5,463802661
Tun->Exp;5,372619421;0,644688791;2,185626776;6,354082268;6,634398528
Tun->Resp;0,7152981;0,36270772;0,382683043;1,083970804;1,116118561
Clado->Hydro;0,009370186;1,33195E-06;0,000286999;0,03051884;0,049401143
Clado->Ppil;0,000343008;1,94241E-08;8,9436E-06;0,001182987;0,002626724
Clado->Mlei;0,000659691;0,000062489;0,000198196;0,001194936;0,001324693
Clado->Bcu;8,34237E-05;1,85421E-08;2,49664E-06;0,000281188;0,000576072
Clado->Her;0,00314517;0,000183702;0,000697575;0,005857676;0,006440384
Clado->Poc;0,013505279;0,004970734;0,007733039;0,022571207;0,026835977
Clado->Exp;0,033139756;0,00013642;0,009543406;0,049778502;0,061052606
Clado->Resp;0,022849604;0,017741067;0,017936494;0,031839223;0,035445028
Cop->Hydro;0,010033008;8,13277E-07;0,000287165;0,032448233;0,051118108
Cop->Ppil;0,000349356;9,95308E-09;9,64874E-06;0,001171298;0,00213077
Cop->Mlei;0,004694327;0,000276607;0,001989231;0,008951877;0,011589508
Cop->Bcu;8,16985E-05;5,67902E-09;2,26958E-06;0,000269789;0,000552366
Cop->Her;0,315840825;0,064622866;0,221201471;0,424595468;0,496562982
Cop->Poc;0,996661282;0,187222477;0,365401983;1,533588574;1,719175412
Cop->Exp;1,673055716;0,488661173;0,834033675;2,385724927;3,297248042
Cop->Resp;0,408141233;0,325544658;0,33014923;0,485930201;0,491061329
Biv->Nsci;0,217162981;0,000243579;0,020017075;0,47247758;0,615157189
Biv->Poly;0,164365975;4,74756E-05;0,014291253;0,379832734;0,551449495
Biv->Hydro;0,010072326;3,27362E-06;0,000259991;0,033689556;0,061674905
Biv->Ppil;0,000354622;7,15389E-08;9,69625E-06;0,001189006;0,002671364
Biv->Mlei;0,002940488;6,31735E-05;0,000279741;0,007073064;0,009100434
Biv->Bcu;8,31881E-05;2,22106E-08;2,16017E-06;0,000273276;0,000512837
Biv->Her;0,003951699;0,000190351;0,000740686;0,007551884;0,00847716
Biv->Poc;0,230693579;0,016919353;0,10142888;0,338584043;0,378135968
Biv->Exp;0,20656552;0,000133069;0,020286038;0,446400336;0,624374266
Biv->Resp;0,233556617;0,022554784;0,176051379;0,255262198;0,255889451
Gastr->Hydro;0,009673889;1,76795E-07;0,000240011;0,031163857;0,061920647
Gastr->Ppil;0,000345897;1,30103E-07;9,49213E-06;0,00118286;0,002175521
Gastr->Mlei;0,000336542;1,61433E-05;0,000175787;0,000517155;0,000564964
Gastr->Bcu;8,11066E-05;1,11522E-08;2,12479E-06;0,00028332;0,000511305
Gastr->Her;0,025727572;0,003801175;0,006729847;0,047291259;0,052237549
Gastr->Poc;0,135696406;0,008848966;0,072475842;0,216097892;0,260491179
Gastr->Exp;0,420562183;0,025769536;0,284374871;0,522051415;0,569331356
Gastr->Resp;0,20937829;0,018815067;0,136914592;0,291429495;0,318300855
Poly->Ppil;0,000349925;7,53107E-09;9,47098E-06;0,001186606;0,002356519
Poly->Mlei;0,00159082;4,66761E-07;5,67676E-05;0,004143921;0,0058046
Poly->Bcu;8,56719E-05;5,8462E-10;2,239E-06;0,000287814;0,00061252
Poly->Her;0,096454096;7,25245E-05;0,010194402;0,208172453;0,27369632
