Index;Mean;Q0;Q2.5;Q97.5;Q100
INTER;194,8073778;62,0869268;69,6904547;258,3670562;266,5633496
IMP;546,9452489;463,3862605;472,891985;700,3268391;711,0130719
EXP;491,0517262;423,2214225;430,0475552;640,7342214;651,8520193
TSTp;1288,697876;1011,303351;1042,570293;1656,83886;1679,575796
TSTf;741,7526267;536,8780565;555,1302972;956,5332031;968,5627244
INTER/TST;0,149509924;0,061232737;0,067008906;0,206115116;0,219515702
IMP/TST;0,425245038;0,390242149;0,396942442;0,466495547;0,469383632
EXP/TST;0,381954239;0,33861726;0,34030382;0,429000673;0,435610356
NPP;133,0199659;93,50006312;98,18508948;179,2481392;181,4643833
NPP/RESP;2,461195843;1,800214424;1,811639803;2,795596889;2,799989176
Herb;38,91277363;20,64003224;22,37781771;54,63749403;58,06721297
Det;20,08727497;5,542616511;8,32823458;43,25310957;51,20114648
Bact;1,071668222;0,005281887;0,093097857;3,228735452;5,473415287
APL;1,356935104;1,130453498;1,143643186;1,519256942;1,562511513
D/H;0,51384036;0,147527247;0,228526476;0,861386967;1,009573406
TE12;0,11213666;0,064481159;0,068112954;0,185072521;0,198908607
TE23;0,067683277;0,029746609;0,040427283;0,114509796;0,135453974
MTL;2,160656734;2,074385597;2,137254238;2,21037695;2,251702437
SOI;0,222665611;-0,029833626;0,04440342;0,46112568;0,955041976
H;3,469567767;2,669763097;2,853640666;3,774855655;3,789873315
Ov/DC;0,682523277;0,556291348;0,596567465;0,716325131;0,718489335
A/DC;0,317476723;0,281510665;0,283674869;0,403432535;0,443708652
R/DC;0,21251098;0,126153307;0,143931924;0,263744277;0,2741185
AMI;1,092556159;1,015007253;1,023878461;1,173532589;1,197327173
Ai/DCi;0,207982471;0,147716675;0,159846127;0,25710838;0,298265331
ELD;1,295948424;1,12381123;1,152574921;1,39056442;1,407115513
Ceff;1,295948424;1,12381123;1,152574921;1,39056442;1,407115513
LDq;0,9808359;0,691541943;0,738600515;1,127027202;1,14503309
FCI;0,01267347;0,000345113;0,000918091;0,045655298;0,050307124
NCycles;183;183;183;183;183
C_cycled;24,64637235;1,602751514;3,841830483;73,5824752;81,9276811
C_cycled.small;23,3429565;0,822738889;2,992961041;69,46866112;76,90555218
C_cycled.big;1,303415848;0,094632534;0,335987183;4,891186392;6,653620511
