Datum;Uhrzeit;Station;Sal(psu);Temp(°C);pH;PO4(µM);Si SalzCorr;NH4(µM);NO2(µM);NO3µM;SM-Nuc(mg/l);Chla(µg/l)
05.01.2021;08:20;1;28,28;3,12;7,951;0,795;26,13;7,97;2,82;27,485;19,8;2,5
07.01.2021;09:15;1;28,98;2,82;7,979;0,853;22,96;6,406;2,743;24,699;20,9;2,7
11.01.2021;10:10;1;29,78;3,13;7,963;0,88;21,54;5,609;2,326;21,577;35,27;3,8
13.01.2021;10:15;1;29,05;3;7,987;0,88;24,1;6,06;2,418;25,316;35,9;3,8
18.01.2021;08:10;1;28,88;2;7,973;0,83;26,6;6,084;2,192;27,951;17;1,4
22.01.2021;08:37;Fähre;28,45;4,1;7,993;0,798;28,68;5,974;1,833;29,409;23,35;2,4
25.01.2021;09:15;1;27,72;3,19;7,927;0,835;34,03;6,127;1,751;;27,48;2,5
28.01.2021;07:37;1;28,2;2,64;7,939;0,835;30,96;5,987;1,639;;21,91;2
01.02.2021;07:47;1;28,25;1,8;7,99;0,826;32,21;5,658;1,331;33,103;28,29;1,9
04.02.2021;09:20;1;27,99;0,84;7,915;0,835;33,67;5,865;1,237;34,223;31,23;2,1
09.02.2021;12:10;Fähre;27,22;-1;7,857;0,812;40,54;7,343;1,165;38,535;15,48;1,3
11.02.2021;13:40;Fähre;27,79;-0,8;7,864;0,808;39,38;7,248;1,104;37,996;10,53;0,6
15.02.2021;14:00;Fähre;29;-1,5;7,855;0,771;33,13;6,323;0,875;31,163;22,85;2,7
18.02.2021;15:30;Fähre;28,61;0,3;7,997;0,767;31,96;6,814;0,806;31,103;15,63;1,8
22.02.2021;09:10;1;29,97;0,73;7,99;0,785;25,17;4,978;0,537;25,248;13,93;1,5
22.02.2021;09:25;4;29,25;0,61;8,047;0,776;29,18;6,013;0,612;28,511;8,99;0,6
25.02.2021;09:12;1;29,34;2,26;7,969;0,762;28,58;6,233;0,553;28,062;24,88;2,9
01.03.2021;09:17;1;28,7;3,77;7,901;0,708;31,36;6,743;0,678;30,945;12,5;1,6
03.03.2021;09:05;1;28,7;3,62;7,995;0,699;31,32;6,084;0,62;31,412;9,54;2
08.03.2021;09:10;1;29,14;3,37;8,015;0,567;24,16;3,123;0,529;29,564;13,28;5,9
08.03.2021;09:30;4;28,78;3,31;8,052;0,594;27,19;4,235;0,594;30,518;5,86;2,7
11.03.2021;13:00;Fähre;28,61;4,3;8,063;0,313;16,8;2,896;0,512;26,673;36,07;9
15.03.2021;08:20;1;28,84;4,14;7,965;0,363;15,26;0,912;0,447;28,244;40,37;13,3
18.03.2021;08:10;1;28,73;4,37;8,049;0,245;8,71;0,142;0,396;;21,93;13,5
22.03.2021;10:10;1;28,3;4,66;8,147;0,027;0,51;0,116;0,318;;27,55;23,2
25.03.2021;08:17;1;28,45;5,22;8,221;0,014;0,23;0,265;0,285;17,518;15,59;14,8
29.03.2021;08:15;1;28,92;6,02;8,189;0,032;0,26;0,414;0,217;13,807;27,59;18,6
01.04.2021;08:10;1;28,66;7,24;8,195;0,032;0,39;0,246;0,221;16,005;16,58;12,7
06.04.2021;08:30;1;28,58;6,58;8,282;0,023;0,4;0,323;0,178;11,638;29,35;19,8
08.04.2021;13:10;Fähre;28,46;5,8;8,197;0,255;0,21;2,521;0,24;8,836;25,91;13,4
12.04.2021;08:25;1;28,56;5,56;8,121;0,014;0,1;0,291;0,127;5,473;30,52;17,8
15.04.2021;08:15;1;28,73;6,07;8,291;0,009;0,08;0,086;0,103;2,806;17,57;11,3
19.04.2021;08:25;1;29,07;7,31;8,301;0,027;0,09;0,04;0,084;0,591;8,37;6,6
22.04.2021;08:20;1;28,76;8,68;8,33;0,027;0,09;0;0,035;0;17,27;10,8
26.04.2021;08:25;1;28,79;9,18;8,239;0,041;0,14;0;0,012;0;31,25;12,4
29.04.2021;08:15;1;29,9;9,46;8,115;0,036;0,21;0;0,018;0,135;13,57;6,6
03.05.2021;09:27;1;30,37;9,7;8,211;0,018;0,24;0;0,029;0;4,26;3
07.05.2021;09:22;1;29,27;9;8,217;0,086;0,41;0,195;0,025;0,139;21,86;8,8
10.05.2021;09:25;1;29,61;11,1;8,133;0,118;0,33;0,408;0,051;0;11,33;6,1
12.05.2021;08:30;1;29,53;11,6;8,107;0,068;0,47;0,73;0,051;0,531;9,88;3,7
18.05.2021;09:35;1;29,48;12,2;8,181;0,032;0,82;0,006;0,008;0,002;3,82;4,4
20.05.2021;09:30;1;29,61;12,2;8,191;0,018;0,75;0;0,01;0;2,85;3,3
25.05.2021;13:25;1;29,55;12,2;8,298;0,027;0,47;0,04;0,088;1,896;8,75;10,6
27.05.2021;12:40;1;28,72;12,3;8,272;0,041;0,63;0;0,014;0,021;11,76;12,3
31.05.2021;09:00;1;28,7;12,97;8,259;0,027;0,49;0;0,01;0,013;4,12;3,9
03.06.2021;08:40;1;28,82;14,06;8,279;0,041;0,41;0,075;0,008;0;5,02;3,3
07.06.2021;08:40;1;27,98;17,16;8,2;0,072;0,41;0,454;0,018;0,003;4,14;4,9
10.06.2021;10:05;1;28,29;18,7;8,172;0,054;0,87;0,126;0,016;0;3,61;2,3
14.06.2021;15:31;Fähre;28,64;18,9;8,105;0,181;1,41;1,442;0,035;0,182;25,71;7,9
17.06.2021;09:35;1;28,79;18,9;8,102;0,041;0,28;0,052;0,014;0;1,56;4,8
21.06.2021;11:35;Fähre;28,76;18,6;8,145;0,09;0,92;1,31;0,023;0,082;5,09;4,7
24.06.2021;14:35;Fähre;28,81;19,1;8,137;0,086;0,97;0,936;0,018;0,022;5,72;3,8
28.06.2021;08:15;1;28,85;18,61;8,097;0,077;0,82;0,258;0,021;0;6,51;3,3
01.07.2021;08:07;1;28,92;18,6;8,15;0,095;1,18;0,551;0,035;0,355;3,75;4
05.07.2021;07:45;1;28,97;19,2;8,145;0,14;1,36;0,81;0,037;1,035;5,34;3,5
08.07.2021;08:12;1;28,84;19,49;8,197;0,194;1,07;0,828;0,065;0,486;9,62;5,5
12.07.2021;08:12;1;29,13;20,17;8,119;0,095;0,26;0,258;0,018;0,053;3,33;4,9
15.07.2021;08:15;1;29,44;20,88;8,133;0,045;0,26;0,203;0,008;0;1,84;4,2
19.07.2021;08:15;1;29,53;20,72;8,147;0,158;0,33;0,234;0,008;0;7,06;6,3
22.07.2021;08:15;1;29,53;19,04;8,157;0,262;0,6;0,211;0,014;0;6,73;5,4
26.07.2021;08:20;1;29,96;20,03;8,158;0,172;0,73;0,359;0,02;0,293;4,42;3,5
28.07.2021;11:50;1;29,93;20,6;8,119;0,212;0,91;0,242;0,022;0;9,35;6,2
02.08.2021;08:20;1;30,25;15,4;8,067;0,217;1,83;1,085;0,099;0,671;6,26;5
05.08.2021;08:45;1;30;18,7;8,03;0,325;0,73;1,413;0,126;0,366;4,51;4,9
09.08.2021;08:25;1;30,15;19;8,09;0,127;0,64;0,351;0,012;0;9,32;4
12.08.2021;08:30;1;30,16;20;8,079;0,19;1,23;0,851;0,02;0;5,86;3,7
16.08.2021;08:20;1;30,5;18,7;8,095;0,181;3,14;0,422;0,018;0;3,1;3,9
19.08.2021;08:15;1;30,14;17,49;8,136;0,362;2,23;1,039;0,063;0,259;16,97;6,2
23.08.2021;08:12;1;30,11;17,62;8,133;0,378;1,59;0,687;0,093;0,428;8,24;5,2
26.08.2021;08:10;1;30,13;17,65;8,137;0,297;0,91;0,445;0,026;0;5,16;5,7
30.08.2021;08:15;1;30,16;16,84;8,174;0,293;0,95;0,578;0,041;0,054;4,74;5,6
30.08.2021;08:45;4;30,15;16,87;8,197;0,351;1,07;0,921;0,043;0,154;23,64;8,2
02.09.2021;08:12;1;30,19;17,34;8,185;0,383;1,05;0,359;0,014;0;2,51;4
06.09.2021;08:20;1;30,25;17,56;8,236;0,315;1,16;0,398;0,014;0;4,3;3,6
09.09.2021;08:17;1;30,47;18,02;8,103;0,243;0,97;0,921;0,008;0;3,45;4,6
13.09.2021;08:30;1;30,75;18,2;8,157;0,257;1,1;0,281;0,008;0;5,16;4,3
16.09.2021;13:20;1;30,67;17,96;8,2;0,347;0,94;0,906;0,018;0;6,12;4,5
20.09.2021;08:30;1;30,57;15,9;8,175;0,464;1,17;0,976;0,049;0;6,62;4,1
23.09.2021;08:30;1;30,76;16,4;8,114;0,351;1,24;1,093;0,039;0;6,54;5,6
27.09.2021;08:20;1;30,55;15,8;8,173;0,495;2,27;1,944;0,108;0;0,11;4,2
01.10.2021;10:15;Fähre;29,99;14,4;8,093;0,396;4,46;2,226;0,103;0;57,36;15,1
04.10.2021;08:37;1;30,17;14,37;8,081;0,486;2,94;3,545;0,321;;11,44;6,3
07.10.2021;08:25;1;30,22;13,7;8,093;0,522;2,71;4,209;0,347;;11,78;5,3
11.10.2021;08:25;1;30,31;13,7;8,127;0,446;1,93;2,257;0,368;;3,24;6,5
14.10.2021;07:45;1;30,27;12,8;8,087;0,445;1,27;2,077;0,378;;8,21;8,9
19.10.2021;08:25;1;29,74;11,73;8,112;0,422;1,83;4,045;0,52;;6,62;4,6
21.10.2021;08:45;1;29,72;12,48;8,125;0,445;1,87;3,834;0,39;;8,67;5
25.10.2021;11:12;1;28,95;10,11;8,051;0,454;4,38;6,88;0,656;;21,51;6,5
28.10.2021;08:12;1;29,05;10,96;8,045;0,513;5,38;6,115;0,632;;7,84;3,9
01.11.2021;10:37;1;29,53;11,51;8,037;0,712;10,59;6,567;0,77;;10,63;5
04.11.2021;08:49;1;28,54;10,04;8,017;0,558;8,13;9,621;0,957;;9,94;4
08.11.2021;11:25;1;28,52;9,91;8,007;0,612;10,25;9,324;1,097;;12,58;4,9
11.11.2021;09:50;1;28,47;10,27;8,015;0,749;13,53;9,301;1,296;;8,53;2,1
15.11.2021;10:43;1;28,64;9,87;8,01;0,794;13,91;9,769;1,237;;6,53;1,4
18.11.2021;09:15;1;28,04;8,9;7,957;0,739;13,65;11,675;1,445;;6,24;1,8
22.11.2021;11:45;1;;8,38;7,982;0,73;12,44;12,637;1,593;;8,76;1,9
24.11.2021;08:20;1;;8,61;7,902;0,812;15,62;11,335;1,682;;13,3;1,9
29.11.2021;08:30;1;;6,1;8,073;0,88;17,27;13,42;1,991;;5,99;0,7
02.12.2021;12:10;Fähre;;5,2;8,087;0,771;16,83;11,822;2,145;;14,84;2,1
06.12.2021;15:25;Fähre;;4,1;8,056;0,73;20,45;14,093;2,491;;18,47;2,9
08.12.2021;15:00;Fähre;;3,3;8,037;0,658;22,81;14,253;2,631;;47,44;6
15.12.2021;11:55;Fähre;;6,1;7,987;0,848;23,38;10,571;2,79;;8,7;1,3
20.12.2021;13:15;Fähre;;5,1;8,042;0,93;26,73;10,264;2,859;;9,92;1,8
