Date;station;latitude;longitude;SST;salinity;pH;NH4;NO2;NO3;PO4;Si;chlorophyll a;SPM
13.12.1973;1;55,03000;8,46000;2,70;30,57;;;;;;;;
13.12.1973;2;55,01250;8,49000;3,20;31,25;;;;;;;;
17.12.1973;1;55,03000;8,46000;2,50;31,18;;;;;;;;
17.12.1973;2;55,01250;8,49000;2,70;30,91;;;;;;;;
20.12.1973;1;55,03000;8,46000;1,60;29,76;;;;;;;;
20.12.1973;2;55,01250;8,49000;1,00;29,50;;;;;;;;
03.01.1974;1;55,03000;8,46000;1,60;29,30;;;;;;;;
03.01.1974;2;55,01250;8,49000;1,90;29,46;;;;;;;;
07.01.1974;1;55,03000;8,46000;2,10;29,48;;;;;;;;
07.01.1974;2;55,01250;8,49000;1,70;29,38;;;;;;;;
10.01.1974;1;55,03000;8,46000;2,30;30,43;;;;;;;;
10.01.1974;2;55,01250;8,49000;2,20;28,95;;;;;;;;
14.01.1974;2;55,01250;8,49000;3,40;29,30;;;;;;;;
17.01.1974;1;55,03000;8,46000;3,60;29,94;;;;;;;;
17.01.1974;2;55,01250;8,49000;3,60;29,63;;;;;;;;
21.01.1974;1;55,03000;8,46000;4,50;28,84;;;;;;;;
21.01.1974;2;55,01250;8,49000;4,80;28,74;;;;;;;;
24.01.1974;1;55,03000;8,46000;4,30;29,41;;;;;;;;
24.01.1974;2;55,01250;8,49000;4,60;28,51;;;;;;;;
28.01.1974;1;55,03000;8,46000;4,10;28,40;;;;;;;;
28.01.1974;2;55,01250;8,49000;3,80;28,34;;;;;;;;
31.01.1974;1;55,03000;8,46000;3,60;27,47;;;;;;;;
31.01.1974;2;55,01250;8,49000;4,00;28,45;;;;;;;;
04.02.1974;1;55,03000;8,46000;3,80;28,17;;;;;;;;
04.02.1974;2;55,01250;8,49000;4,10;28,32;;;;;;;;
07.02.1974;1;55,03000;8,46000;3,40;28,75;;;;;;;;
07.02.1974;2;55,01250;8,49000;3,00;28,18;;;;;;;;
11.02.1974;1;55,03000;8,46000;4,50;28,36;;;;;;;;
11.02.1974;2;55,01250;8,49000;5,10;28,00;;;;;;;;
13.02.1974;1;55,03000;8,46000;5,30;27,95;;;;;;;;
13.02.1974;2;55,01250;8,49000;5,60;28,29;;;;;;;;
14.02.1974;1;55,03000;8,46000;4,40;27,93;;;;;;;;
18.02.1974;1;55,03000;8,46000;5,00;27,23;;;;;;;;
18.02.1974;2;55,01250;8,49000;4,70;27,54;;;;;;;;
21.02.1974;1;55,03000;8,46000;5,10;27,40;;;;;;;;
21.02.1974;2;55,01250;8,49000;4,40;27,69;;;;;;;;
25.02.1974;2;55,01250;8,49000;4,90;27,55;;;;;;;;
27.02.1974;1;55,03000;8,46000;4,60;27,44;;;;;;;;
28.02.1974;1;55,03000;8,46000;3,50;27,35;;;;;;;;
28.02.1974;2;55,01250;8,49000;3,70;27,32;;;;;;;;
04.03.1974;1;55,03000;8,46000;2,40;27,63;;;;;;;;
04.03.1974;2;55,01250;8,49000;3,10;27,32;;;;;;;;
07.03.1974;1;55,03000;8,46000;4,00;26,86;;;;;;;;
07.03.1974;2;55,01250;8,49000;3,10;26,77;;;;;;;;
11.03.1974;1;55,03000;8,46000;2,70;27,45;;;;;;;;
11.03.1974;2;55,01250;8,49000;2,60;26,98;;;;;;;;
14.03.1974;1;55,03000;8,46000;3,60;27,66;;;;;;;;
14.03.1974;2;55,01250;8,49000;4,40;27,91;;;;;;;;
18.03.1974;1;55,03000;8,46000;4,30;27,91;;;;;;;;
18.03.1974;2;55,01250;8,49000;5,10;27,05;;;;;;;;
21.03.1974;1;55,03000;8,46000;5,70;27,87;;;;;;;;
21.03.1974;2;55,01250;8,49000;5,50;27,72;;;;;;;;
25.03.1974;1;55,03000;8,46000;6,10;27,47;;;;;;;;
25.03.1974;2;55,01250;8,49000;5,30;27,08;;;;;;;;
28.03.1974;1;55,03000;8,46000;6,60;27,72;;;;;;;;
28.03.1974;2;55,01250;8,49000;5,80;27,48;;;;;;;;
01.04.1974;1;55,03000;8,46000;6,20;27,28;;;;;;;;
01.04.1974;2;55,01250;8,49000;7,50;27,01;;;;;;;;
04.04.1974;1;55,03000;8,46000;8,60;27,93;;;;;;;;
04.04.1974;2;55,01250;8,49000;8,40;27,36;;;;;;;;
08.04.1974;1;55,03000;8,46000;9,60;28,88;;;;;;;;
08.04.1974;2;55,01250;8,49000;10,20;27,88;;;;;;;;
11.04.1974;1;55,03000;8,46000;9,40;28,82;;;;;;;;
11.04.1974;2;55,01250;8,49000;9,30;28,48;;;;;;;;
16.04.1974;1;55,03000;8,46000;8,90;28,72;;;;;;;;
16.04.1974;2;55,01250;8,49000;10,00;28,36;;;;;;;;
18.04.1974;1;55,03000;8,46000;9,20;28,46;;;;;;;;
18.04.1974;2;55,01250;8,49000;9,60;28,53;;;;;;;;
22.04.1974;1;55,03000;8,46000;10,50;29,26;;;;;;;;
22.04.1974;2;55,01250;8,49000;10,20;28,38;;;;;;;;
25.04.1974;1;55,03000;8,46000;10,00;29,35;;;;;;;;
25.04.1974;2;55,01250;8,49000;9,80;29,03;;;;;;;;
27.04.1974;2;55,01250;8,49000;10,20;28,70;;;;;;;;
29.04.1974;1;55,03000;8,46000;9,10;29,33;;;;;;;;
02.05.1974;1;55,03000;8,46000;9,40;29,69;;;;;;;;
02.05.1974;2;55,01250;8,49000;10,10;29,12;;;;;;;;
06.05.1974;1;55,03000;8,46000;10,00;29,53;;;;;;;;
06.05.1974;2;55,01250;8,49000;9,30;29,08;;;;;;;;
09.05.1974;1;55,03000;8,46000;10,40;30,29;;;;;;;;
09.05.1974;2;55,01250;8,49000;10,50;29,96;;;;;;;;
13.05.1974;1;55,03000;8,46000;11,20;30,14;;;;;;;;
13.05.1974;2;55,01250;8,49000;12,50;29,46;;;;;;;;
16.05.1974;1;55,03000;8,46000;11,80;30,36;;;;;;;;
16.05.1974;2;55,01250;8,49000;12,80;30,20;;;;;;;;
20.05.1974;1;55,03000;8,46000;13,90;30,77;;;;;;;;
20.05.1974;2;55,01250;8,49000;14,10;30,36;;;;;;;;
22.05.1974;1;55,03000;8,46000;13,90;31,06;;;;;;;;
22.05.1974;2;55,01250;8,49000;14,30;30,68;;;;;;;;
27.05.1974;1;55,03000;8,46000;13,70;31,03;;;;;;;;
27.05.1974;2;55,01250;8,49000;13,90;30,84;;;;;;;;
30.05.1974;1;55,03000;8,46000;12,90;31,10;;;;;;;;
30.05.1974;2;55,01250;8,49000;13,20;31,26;;;;;;;;
04.06.1974;1;55,03000;8,46000;14,20;31,28;;;;;;;;
04.06.1974;2;55,01250;8,49000;14,50;31,34;;;;;;;;
06.06.1974;1;55,03000;8,46000;14,00;31,89;;;;;;;;
06.06.1974;2;55,01250;8,49000;15,00;31,60;;;;;;;;
10.06.1974;1;55,03000;8,46000;13,60;31,83;;;;;;;;
10.06.1974;2;55,01250;8,49000;14,70;31,71;;;;;;;;
13.06.1974;1;55,03000;8,46000;14,00;31,64;;;;;;;;
13.06.1974;2;55,01250;8,49000;14,80;31,69;;;;;;;;
20.06.1974;1;55,03000;8,46000;16,80;31,91;;;;;;;;
20.06.1974;2;55,01250;8,49000;18,00;31,77;;;;;;;;
24.06.1974;1;55,03000;8,46000;18,40;31,95;;;;;;;;
24.06.1974;2;55,01250;8,49000;18,50;31,90;;;;;;;;
27.06.1974;1;55,03000;8,46000;17,40;31,97;;;;;;;;
27.06.1974;2;55,01250;8,49000;17,70;32,07;;;;;;;;
01.07.1974;1;55,03000;8,46000;17,80;32,17;;;;;;;;
01.07.1974;2;55,01250;8,49000;17,60;32,17;;;;;;;;
04.07.1974;1;55,03000;8,46000;16,70;32,22;;;;;;;;
04.07.1974;2;55,01250;8,49000;16,60;32,28;;;;;;;;
08.07.1974;1;55,03000;8,46000;15,90;32,18;;;;;;;;
08.07.1974;2;55,01250;8,49000;15,80;32,29;;;;;;;;
11.07.1974;1;55,03000;8,46000;15,80;32,54;;;;;;;;
11.07.1974;2;55,01250;8,49000;15,80;32,29;;;;;;;;
15.07.1974;1;55,03000;8,46000;15,90;32,06;;;;;;;;
15.07.1974;2;55,01250;8,49000;15,20;32,26;;;;;;;;
18.07.1974;1;55,03000;8,46000;16,60;32,24;;;;;;;;
18.07.1974;2;55,01250;8,49000;16,20;32,34;;;;;;;;
18.07.1974;3;55,05670;8,52000;16,40;32,13;;;;;;;;
18.07.1974;4;55,03830;8,43830;16,40;30,44;;;;;;;;
22.07.1974;1;55,03000;8,46000;17,00;32,34;;;;;;;;
22.07.1974;2;55,01250;8,49000;16,00;32,26;;;;;;;;
22.07.1974;3;55,05670;8,52000;16,80;31,80;;;;;;;;
22.07.1974;4;55,03830;8,43830;16,90;31,58;;;;;;;;
25.07.1974;1;55,03000;8,46000;16,40;32,35;;;;;;;;
25.07.1974;2;55,01250;8,49000;16,40;32,33;;;;;;;;
25.07.1974;4;55,03830;8,43830;16,60;31,48;;;;;;;;
29.07.1974;1;55,03000;8,46000;16,40;32,34;;;;;;;;
01.08.1974;1;55,03000;8,46000;16,30;32,22;;;;;;;;
01.08.1974;2;55,01250;8,49000;16,30;32,10;;;;;;;;
01.08.1974;3;55,05670;8,52000;16,20;32,07;;;;;;;;
01.08.1974;4;55,03830;8,43830;16,30;31,97;;;;;;;;
05.08.1974;1;55,03000;8,46000;16,60;32,04;;;;;;;;
05.08.1974;2;55,01250;8,49000;16,20;31,93;;;;;;;;
05.08.1974;3;55,05670;8,52000;15,90;31,21;;;;;;;;
05.08.1974;4;55,03830;8,43830;15,90;30,01;;;;;;;;
08.08.1974;2;55,01250;8,49000;16,80;31,78;;;;;;;;
08.08.1974;3;55,05670;8,52000;16,80;31,31;;;;;;;;
08.08.1974;4;55,03830;8,43830;16,10;30,91;;;;;;;;
12.08.1974;1;55,03000;8,46000;16,00;31,86;;;;;;;;
12.08.1974;2;55,01250;8,49000;16,80;31,79;;;;;;;;
15.08.1974;1;55,03000;8,46000;17,40;31,69;;;;;;;;
15.08.1974;2;55,01250;8,49000;18,80;31,10;;;;;;;;
19.08.1974;1;55,03000;8,46000;18,10;31,86;;;;;;;;
19.08.1974;2;55,01250;8,49000;18,00;31,61;;;;;;;;
19.08.1974;3;55,05670;8,52000;17,80;30,58;;;;;;;;
19.08.1974;4;55,03830;8,43830;17,50;29,70;;;;;;;;
22.08.1974;1;55,03000;8,46000;18,10;31,73;;;;;;;;
22.08.1974;2;55,01250;8,49000;18,20;31,64;;;;;;;;
22.08.1974;3;55,05670;8,52000;17,90;31,09;;;;;;;;
22.08.1974;4;55,03830;8,43830;17,70;30,57;;;;;;;;
26.08.1974;1;55,03000;8,46000;18,50;31,95;;;;;;;;
26.08.1974;2;55,01250;8,49000;19,70;30,99;;;;;;;;
27.08.1974;1;55,03000;8,46000;18,60;31,87;;;;;;;;
29.08.1974;1;55,03000;8,46000;19,20;31,80;;;;;;;;
29.08.1974;2;55,01250;8,49000;18,40;31,89;;;;;;;;
29.08.1974;3;55,05670;8,52000;18,40;31,52;;;;;;;;
29.08.1974;4;55,03830;8,43830;17,90;30,51;;;;;;;;
02.09.1974;1;55,03000;8,46000;18,20;32,11;;;;;;;;
02.09.1974;2;55,01250;8,49000;17,90;31,88;;;;;;;;
02.09.1974;3;55,05670;8,52000;17,60;31,57;;;;;;;;
02.09.1974;4;55,03830;8,43830;17,40;30,94;;;;;;;;
05.09.1974;1;55,03000;8,46000;16,70;31,87;;;;;;;;
05.09.1974;2;55,01250;8,49000;16,90;31,92;;;;;;;;
09.09.1974;1;55,03000;8,46000;15,20;31,60;;;;;;;;
09.09.1974;2;55,01250;8,49000;15,10;31,71;;;;;;;;
09.09.1974;3;55,05670;8,52000;14,10;31,13;;;;;;;;
09.09.1974;4;55,03830;8,43830;14,20;29,55;;;;;;;;
12.09.1974;1;55,03000;8,46000;14,90;31,42;;;;;;;;
12.09.1974;2;55,01250;8,49000;15,80;31,50;;;;;;;;
12.09.1974;3;55,05670;8,52000;15,90;30,21;;;;;;;;
12.09.1974;4;55,03830;8,43830;15,80;30,20;;;;;;;;
16.09.1974;1;55,03000;8,46000;16,40;31,69;;;;;;;;
16.09.1974;2;55,01250;8,49000;16,30;31,23;;;;;;;;
16.09.1974;3;55,05670;8,52000;16,30;29,68;;;;;;;;
16.09.1974;4;55,03830;8,43830;16,20;28,35;;;;;;;;
19.09.1974;1;55,03000;8,46000;15,20;31,51;;;;;;;;
19.09.1974;2;55,01250;8,49000;15,20;31,39;;;;;;;;
19.09.1974;3;55,05670;8,52000;15,00;30,06;;;;;;;;
19.09.1974;4;55,03830;8,43830;14,70;29,24;;;;;;;;
23.09.1974;1;55,03000;8,46000;14,00;31,20;;;;;;;;
26.09.1974;1;55,03000;8,46000;13,00;30,75;;;;;;;;
26.09.1974;2;55,01250;8,49000;12,80;28,27;;;;;;;;
26.09.1974;3;55,05670;8,52000;12,70;30,63;;;;;;;;
26.09.1974;4;55,03830;8,43830;11,80;30,83;;;;;;;;
30.09.1974;1;55,03000;8,46000;12,50;30,89;;;;;;;;
30.09.1974;2;55,01250;8,49000;12,00;30,54;;;;;;;;
30.09.1974;3;55,05670;8,52000;11,00;29,44;;;;;;;;
30.09.1974;4;55,03830;8,43830;10,90;26,30;;;;;;;;
03.10.1974;1;55,03000;8,46000;12,00;30,57;;;;;;;;
03.10.1974;2;55,01250;8,49000;11,40;30,27;;;;;;;;
03.10.1974;3;55,05670;8,52000;11,30;29,89;;;;;;;;
03.10.1974;4;55,03830;8,43830;11,20;27,63;;;;;;;;
07.10.1974;1;55,03000;8,46000;10,80;30,24;;;;;;;;
07.10.1974;2;55,01250;8,49000;10,10;30,25;;;;;;;;
07.10.1974;3;55,05670;8,52000;9,60;27,84;;;;;;;;
07.10.1974;4;55,03830;8,43830;9,80;27,96;;;;;;;;
10.10.1974;1;55,03000;8,46000;10,30;30,16;;;;;;;;
10.10.1974;2;55,01250;8,49000;9,60;29,47;;;;;;;;
10.10.1974;3;55,05670;8,52000;9,60;29,20;;;;;;;;
10.10.1974;4;55,03830;8,43830;9,40;26,43;;;;;;;;
14.10.1974;2;55,01250;8,49000;8,50;29,42;;;;;;;;
14.10.1974;3;55,05670;8,52000;8,60;27,88;;;;;;;;
14.10.1974;4;55,03830;8,43830;8,50;26,75;;;;;;;;
18.10.1974;2;55,01250;8,49000;8,50;29,10;;;;;;;;
18.10.1974;3;55,05670;8,52000;8,50;27,46;;;;;;;;
18.10.1974;4;55,03830;8,43830;8,30;27,89;;;;;;;;
21.10.1974;1;55,03000;8,46000;8,10;29,76;;;;;;;;
21.10.1974;2;55,01250;8,49000;8,70;29,69;;;;;;;;
21.10.1974;3;55,05670;8,52000;8,40;28,45;;;;;;;;
21.10.1974;4;55,03830;8,43830;8,10;28,28;;;;;;;;
24.10.1974;1;55,03000;8,46000;8,40;29,38;;;;;;;;
24.10.1974;2;55,01250;8,49000;9,10;29,00;;;;;;;;
28.10.1974;1;55,03000;8,46000;8,50;29,84;;;;;;;;
28.10.1974;2;55,01250;8,49000;8,40;29,94;;;;;;;;
30.10.1974;1;55,03000;8,46000;7,40;29,84;;;;;;;;
30.10.1974;2;55,01250;8,49000;6,40;28,64;;;;;;;;
04.11.1974;1;55,03000;8,46000;6,10;29,34;;;;;;;;
04.11.1974;2;55,01250;8,49000;5,70;28,16;;;;;;;;
04.11.1974;3;55,05670;8,52000;5,50;27,70;;;;;;;;
04.11.1974;4;55,03830;8,43830;5,50;28,34;;;;;;;;
07.11.1974;2;55,01250;8,49000;6,10;28,56;;;;;;;;
07.11.1974;3;55,05670;8,52000;5,80;26,40;;;;;;;;
07.11.1974;4;55,03830;8,43830;6,00;25,75;;;;;;;;
14.11.1974;1;55,03000;8,46000;7,20;30,09;;;;;;;;
14.11.1974;2;55,01250;8,49000;6,80;29,84;;;;;;;;
18.11.1974;1;55,03000;8,46000;7,20;29,11;;;;;;;;
18.11.1974;2;55,01250;8,49000;7,10;29,45;;;;;;;;
18.11.1974;3;55,05670;8,52000;6,90;28,28;;;;;;;;
18.11.1974;4;55,03830;8,43830;6,90;26,18;;;;;;;;
21.11.1974;1;55,03000;8,46000;6,30;28,78;;;;;;;;
21.11.1974;2;55,01250;8,49000;6,10;28,59;;;;;;;;
21.11.1974;3;55,05670;8,52000;5,90;28,41;;;;;;;;
21.11.1974;4;55,03830;8,43830;5,70;23,76;;;;;;;;
25.11.1974;1;55,03000;8,46000;6,30;29,39;;;;;;;;
25.11.1974;2;55,01250;8,49000;6,00;28,44;;;;;;;;
28.11.1974;1;55,03000;8,46000;6,30;29,04;;;;;;;;
28.11.1974;2;55,01250;8,49000;6,40;29,19;;;;;;;;
02.12.1974;1;55,03000;8,46000;6,10;29,02;;;;;;;;
02.12.1974;2;55,01250;8,49000;4,20;27,94;;;;;;;;
02.12.1974;3;55,05670;8,52000;4,90;25,00;;;;;;;;
02.12.1974;4;55,03830;8,43830;5,00;25,07;;;;;;;;
05.12.1974;1;55,03000;8,46000;5,80;28,86;;;;;;;;
05.12.1974;2;55,01250;8,49000;5,80;28,82;;;;;;;;
09.12.1974;1;55,03000;8,46000;6,00;28,28;;;;;;;;
09.12.1974;2;55,01250;8,49000;5,90;27,47;;;;;;;;
12.12.1974;1;55,03000;8,46000;4,40;27,18;;;;;;;;
12.12.1974;2;55,01250;8,49000;4,50;27,26;;;;;;;;
16.12.1974;1;55,03000;8,46000;4,20;27,71;;;;;;;;
16.12.1974;2;55,01250;8,49000;3,50;27,03;;;;;;;;
19.12.1974;1;55,03000;8,46000;3,80;26,00;;;;;;;;
19.12.1974;2;55,01250;8,49000;4,10;27,61;;;;;;;;
23.12.1974;1;55,03000;8,46000;5,60;26,61;;;;;;;;
30.12.1974;1;55,03000;8,46000;5,80;27,22;;;;;;;;
02.01.1975;1;55,03000;8,46000;5,90;26,37;;;;;;;;
02.01.1975;1;55,03000;8,46000;5,60;26,14;;;;;;;;
06.01.1975;1;55,03000;8,46000;6,50;26,81;;;;;;;;
06.01.1975;1;55,03000;8,46000;6,70;26,73;;;;;;;;
09.01.1975;1;55,03000;8,46000;5,20;26,07;;;;;;;;
09.01.1975;1;55,03000;8,46000;5,20;26,34;;;;;;;;
13.01.1975;1;55,03000;8,46000;6,00;26,42;;;;;;;;
13.01.1975;1;55,03000;8,46000;6,20;26,47;;;;;;;;
16.01.1975;1;55,03000;8,46000;6,20;26,21;;;;;;;;
16.01.1975;1;55,03000;8,46000;6,00;26,29;;;;;;;;
20.01.1975;1;55,03000;8,46000;4,70;25,95;;;;;;;;
20.01.1975;1;55,03000;8,46000;4,70;26,06;;;;;;;;
23.01.1975;1;55,03000;8,46000;4,60;25,77;;;;;;;;
23.01.1975;1;55,03000;8,46000;5,00;25,61;;;;;;;;
27.01.1975;1;55,03000;8,46000;3,90;24,74;;;;;;;;
27.01.1975;1;55,03000;8,46000;4,20;24,83;;;;;;;;
30.01.1975;1;55,03000;8,46000;4,40;24,61;;;;;;;;
30.01.1975;1;55,03000;8,46000;4,00;24,67;;;;;;;;
03.02.1975;1;55,03000;8,46000;4,40;24,47;;;;;;;;
03.02.1975;1;55,03000;8,46000;4,50;24,40;;;;;;;;
06.02.1975;1;55,03000;8,46000;4,00;24,02;;;;;;;;
06.02.1975;1;55,03000;8,46000;4,20;24,91;;;;;;;;
10.02.1975;1;55,03000;8,46000;3,80;25,87;;;;;;;;
10.02.1975;1;55,03000;8,46000;2,10;24,16;;;;;;;;
13.02.1975;1;55,03000;8,46000;3,10;24,56;;;;;;;;
13.02.1975;1;55,03000;8,46000;3,70;25,89;;;;;;;;
17.02.1975;1;55,03000;8,46000;1,30;24,59;;;;;;;;
17.02.1975;1;55,03000;8,46000;2,30;25,25;;;;;;;;
20.02.1975;1;55,03000;8,46000;1,70;24,84;;;;;;;;
20.02.1975;1;55,03000;8,46000;2,40;24,76;;;;;;;;
24.02.1975;1;55,03000;8,46000;2,80;25,53;;;;;;;;
24.02.1975;1;55,03000;8,46000;2,80;25,51;;;;;;;;
27.02.1975;1;55,03000;8,46000;2,80;26,47;;;;;;;;
27.02.1975;1;55,03000;8,46000;2,40;24,89;;;;;;;;
03.03.1975;1;55,03000;8,46000;3,20;24,81;;;;;;;;
03.03.1975;1;55,03000;8,46000;3,90;25,58;;;;;;;;
06.03.1975;1;55,03000;8,46000;4,60;25,99;;;;;;;;
06.03.1975;1;55,03000;8,46000;4,60;25,57;;;;;;;;
10.03.1975;1;55,03000;8,46000;5,80;25,63;;;;;;;;
10.03.1975;1;55,03000;8,46000;5,70;25,04;;;;;;;;
13.03.1975;1;55,03000;8,46000;3,90;24,75;;;;;;;;
13.03.1975;1;55,03000;8,46000;4,60;25,45;;;;;;;;
17.03.1975;1;55,03000;8,46000;3,00;25,99;;;;;;;;
17.03.1975;1;55,03000;8,46000;4,10;26,07;;;;;;;;
20.03.1975;1;55,03000;8,46000;2,60;24,52;;;;;;;;
20.03.1975;1;55,03000;8,46000;2,80;25,35;;;;;;;;
24.03.1975;1;55,03000;8,46000;3,90;25,19;;;;;;;;
24.03.1975;1;55,03000;8,46000;2,80;26,17;;;;;;;;
27.03.1975;1;55,03000;8,46000;4,40;29,22;;;;;;;;
27.03.1975;1;55,03000;8,46000;3,00;27,21;;;;;;;;
03.04.1975;1;55,03000;8,46000;5,50;27,69;;;;;;;;
03.04.1975;1;55,03000;8,46000;4,70;27,71;;;;;;;;
07.04.1975;1;55,03000;8,46000;6,00;27,10;;;;;;;;
