Flow;Mean;Q0;Q2.5;Q97.5;Q100
Dia->Cil;3,543701237;0,000157282;0,11666111;5,90074226;6,004592991
Dia->Nsci;7,940125788;2,35067E-05;0,008052483;31,92994865;32,13856415
Dia->Tun;0,416585398;8,67889E-06;0,005768215;1,322733656;1,592994508
Dia->Clado;1,91548E-06;5,41347E-10;5,93953E-08;5,8301E-06;8,69409E-06
Dia->Cop;0,257566756;0,217942014;0,219349113;0,328510729;0,395031501
Dia->Biv;0,031110718;9,04586E-07;0,002471816;0,073685058;0,114038137
Dia->Gastr;0,00080955;1,24995E-07;2,613E-05;0,002439046;0,00376334
Dia->Poly;0,566153642;1,17591E-05;0,004123549;1,572252932;1,719075663
Dia->Mlei;0,000290658;0,000118845;0,000185976;0,000396281;0,000480614
Dia->Her;4,85534E-05;2,86962E-05;3,35278E-05;6,68748E-05;7,76203E-05
Dia->Doc;10,79099674;8,400180302;8,488298679;18,26925927;18,50309495
Dia->Poc;6,856450877;2,549800689;2,590685303;13,18565989;13,6659532
Dia->Exp;27,39661885;1,918889578;2,291480095;38,7947334;39,07606748
Dia->Resp;6,548960726;5,522220391;5,638062934;7,433016233;7,459345684
Phae->Cil;0,60315002;4,78491E-06;0,006808554;3,223364993;3,37431246
Phae->Nsci;2,275112862;5,66248E-06;0,003526812;12,92232973;13,33091164
Phae->Tun;0,687034478;1,11006E-05;0,019572503;1,517348778;1,595910495
Phae->Clado;1,91318E-06;2,96259E-11;6,25637E-08;5,78374E-06;8,61626E-06
Phae->Cop;0,03587992;3,6077E-06;0,001390495;0,092754165;0,15354261
Phae->Biv;0,030036206;0,001002763;0,002791475;0,065590841;0,080471713
Phae->Gastr;0,000811362;1,07725E-07;2,5707E-05;0,002480005;0,003683044
Phae->Poly;0,641711434;6,51554E-05;0,011269762;1,594021848;1,73558212
Phae->Doc;7,340629795;4,366336548;4,470417829;13,46663629;13,60939542
Phae->Poc;9,442406054;1,321428297;1,768970678;12,44931152;12,66353156
Phae->Exp;16,2352143;5,41641878;5,642071822;20,54081224;20,83688805
Phae->Resp;4,19563789;2,865671878;2,950912069;4,553595441;4,570090007
Cil->Nsci;0,331086157;0,000209355;0,029636778;0,563229695;0,61073251
Cil->Tun;0,0546123;4,18287E-05;0,001750455;0,204230341;0,638299457
Cil->Clado;1,96492E-06;6,04075E-10;5,94408E-08;5,81988E-06;9,07058E-06
Cil->Cop;0,036955411;3,13364E-05;0,005465305;0,072653941;0,112791389
Cil->Biv;0,001650932;6,74431E-05;0,000656819;0,002850809;0,003252816
Cil->Gastr;0,000813023;8,72665E-08;2,60697E-05;0,002501272;0,003596099
Cil->Poly;0,070986058;5,17057E-07;0,001532465;0,620060594;0,722737348
Cil->Hydro;0,003748407;1,42964E-06;0,000104763;0,011923316;0,019364522
Cil->Ppil;0,000478086;2,48288E-07;1,28273E-05;0,001584739;0,003210322
Cil->Mlei;0,000435025;9,31172E-09;1,71233E-05;0,001179141;0,001887217
Cil->Bcu;0,000344162;2,65175E-08;9,89483E-06;0,001156448;0,002373785
Cil->Poc;3,606270892;0,000219056;0,064416069;4,81482557;4,933573807
Cil->Exp;0,350151075;0,000071835;0,009694505;1,309554019;1,550383896
Cil->Resp;0,835608136;0,476802201;0,494886557;1,232340961;1,252216239
Nsci->Ppil;0,000468235;1,08185E-07;1,34583E-05;0,001563999;0,002947469
Nsci->Mlei;5,54753E-05;2,16745E-05;3,53044E-05;7,68861E-05;9,69045E-05
Nsci->Bcu;0,000340562;9,22554E-08;1,08926E-05;0,001146055;0,002260054
Nsci->Poc;67,64137186;0,000137855;0,386465404;106,7835687;107,5803128
Nsci->Exp;22,11780067;3,583793621;3,7615709;80,20073498;80,71352983
Nsci->Resp;35,98843447;19,88675452;20,25840823;108,5246137;108,9322027
Tun->Hydro;0,003918542;5,68812E-07;0,00011191;0,01235647;0,019325731
Tun->Ppil;0,000483712;5,99929E-08;1,36822E-05;0,001619951;0,003982376
Tun->Mlei;7,7247E-05;3,15237E-05;4,90372E-05;0,000106653;0,00014427
Tun->Bcu;0,00033553;8,17148E-08;9,00428E-06;0,001138944;0,002179038
Tun->Her;2,85608E-06;1,68801E-06;1,97222E-06;3,93382E-06;4,5659E-06
Tun->Poc;0,507657929;0,024893838;0,133593231;0,729067043;0,75010506
Tun->Exp;0,826734998;0,094978604;0,481706649;0,922121586;0,932179259
Tun->Resp;0,109045273;0,05470362;0,058493158;0,149822822;0,152061329
Clado->Hydro;3,5948E-07;3,43051E-11;9,69277E-09;1,28512E-06;3,17185E-06
Clado->Ppil;3,58823E-07;1,14268E-11;8,98856E-09;1,26946E-06;2,8062E-06
Clado->Mlei;4,68591E-06;1,93618E-06;3,08421E-06;6,26849E-06;7,27272E-06
Clado->Bcu;3,57526E-07;7,44496E-11;8,66128E-09;1,29718E-06;2,74034E-06
Clado->Her;2,85606E-06;1,68801E-06;1,9722E-06;3,93374E-06;4,56581E-06
Clado->Poc;3,55859E-07;6,22652E-11;9,60181E-09;1,26186E-06;2,72843E-06
Clado->Exp;3,52457E-07;1,16136E-11;9,23308E-09;1,25454E-06;2,66939E-06
Clado->Resp;3,61968E-07;1,83444E-11;8,99325E-09;1,28497E-06;3,03585E-06
Cop->Hydro;0,005947387;1,25452E-06;0,000211282;0,016453217;0,023889942
Cop->Ppil;0,000514781;2,94892E-07;1,48425E-05;0,001690203;0,003337396
Cop->Mlei;0,001854256;0,000743653;0,001189283;0,002529684;0,003020271
Cop->Bcu;0,000357544;3,14376E-08;9,92887E-06;0,001211491;0,002122739
Cop->Her;0,001685087;0,000995926;0,001163611;0,00232095;0,002693879
Cop->Poc;0,094938741;0,028417796;0,042028956;0,154744133;0,166885517
Cop->Exp;0,230927181;0,123638714;0,15301256;0,320554099;0,343469823
Cop->Resp;0,065501414;0,060944141;0,061130435;0,069994352;0,070211302
Biv->Nsci;0,017391173;1,92885E-06;0,001148;0,043015337;0,068036948
