Sample label;Latitude (start of trawl);Longitude (start of trawl);Latitude 2 (end of trawl);Longitude 2 (end of trawl);Bathy depth [m] (start of trawl);Bathy depth [m] (end of trawl);Date/Time (start of trawl);Date/Time (end of trawl);Habitat;Mass [g] (total);Mass [g] (subsample);O. eperlanus TL [mm];O. eperlanus [#];Sal (PSU);Temp [Â°C] (at surface);
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;70;3;;4,2;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;75;2;;4,2;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;80;3;;4,2;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;85;3;;4,2;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;90;1;;4,2;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;100;2;;4,2;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;105;2;;4,2;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;120;1;;4,2;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;190;1;;4,2;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;11,7;9,8;2007-01-24T12:09;2007-01-24T12:24;Benthic;52;;60;1;;4,2;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;11,7;9,8;2007-01-24T12:09;2007-01-24T12:24;Benthic;52;;70;2;;4,2;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;11,7;9,8;2007-01-24T12:09;2007-01-24T12:24;Benthic;52;;75;6;;4,2;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;11,7;9,8;2007-01-24T12:09;2007-01-24T12:24;Benthic;52;;80;4;;4,2;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;11,7;9,8;2007-01-24T12:09;2007-01-24T12:24;Benthic;52;;85;4;;4,2;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;11,7;9,8;2007-01-24T12:09;2007-01-24T12:24;Benthic;52;;90;1;;4,2;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;11,7;9,8;2007-01-24T12:09;2007-01-24T12:24;Benthic;52;;100;1;;4,2;
Sylt-4 trawl 1;55,000833;8,4315;54,9925;8,4365;14,2;7,7;2007-01-24T12:45;2007-01-24T13:00;Pelagic;;;85;1;;4,2;
Sylt-4 trawl 1;55,000833;8,4315;54,9925;8,4365;14,2;7,7;2007-01-24T12:45;2007-01-24T13:00;Pelagic;;;90;3;;4,2;
Sylt-4 trawl 1;55,000833;8,4315;54,9925;8,4365;14,2;7,7;2007-01-24T12:45;2007-01-24T13:00;Pelagic;;;100;2;;4,2;
Sylt-4 trawl 1;55,000833;8,4315;54,9925;8,4365;14,2;7,7;2007-01-24T12:45;2007-01-24T13:00;Pelagic;;;110;2;;4,2;
Sylt-3 trawl 2;55,028;8,450167;55,037667;8,457;1,2;2,3;2007-02-21T09:55;2007-02-21T10:10;Benthic;;;55;1;;3,2;
Sylt-3 trawl 2;55,028;8,450167;55,037667;8,457;1,2;2,3;2007-02-21T09:55;2007-02-21T10:10;Benthic;;;100;1;;3,2;
Sylt-3 trawl 2;55,028;8,450167;55,037667;8,457;1,2;2,3;2007-02-21T09:55;2007-02-21T10:10;Benthic;;;60;1;;3,2;
Sylt-1 trawl 2;55,05555;8,438433;55,0512;8,4534;13,3;13,9;2007-02-21T10:34;2007-02-21T10:49;Benthic;;;60;1;;3,3;
Sylt-1 trawl 2;55,05685;8,43225;55,05415;8,444933;16,3;12,2;2007-02-21T11:10;2007-02-21T11:25;Pelagic;;;70;2;;3,2;
Sylt-1 trawl 2;55,05685;8,43225;55,05415;8,444933;16,3;12,2;2007-02-21T11:10;2007-02-21T11:25;Pelagic;;;75;3;;3,2;
Sylt-1 trawl 2;55,05685;8,43225;55,05415;8,444933;16,3;12,2;2007-02-21T11:10;2007-02-21T11:25;Pelagic;;;80;1;;3,2;
Sylt-1 trawl 2;55,05685;8,43225;55,05415;8,444933;16,3;12,2;2007-02-21T11:10;2007-02-21T11:25;Pelagic;;;85;1;;3,2;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;10,2;10,1;2007-02-21T11:52;2007-02-21T12:08;Benthic;;;70;2;;3,2;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;10,2;10,1;2007-02-21T11:52;2007-02-21T12:08;Benthic;;;75;3;;3,2;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;10,2;10,1;2007-02-21T11:52;2007-02-21T12:08;Benthic;;;80;3;;3,2;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;10,2;10,1;2007-02-21T11:52;2007-02-21T12:08;Benthic;;;85;1;;3,2;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;10,2;10,1;2007-02-21T11:52;2007-02-21T12:08;Benthic;;;90;2;;3,2;
Sylt-2 trawl 2;55,019283;8,4554;55,0319;8,468083;12,1;11;2007-02-21T12:30;2007-02-21T12:45;Pelagic;;;80;1;;3,2;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,8;13,2;2007-02-21T13:13;2007-02-21T13:28;Benthic;;;55;2;;3,2;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,8;13,2;2007-02-21T13:13;2007-02-21T13:28;Benthic;;;60;1;;3,2;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,8;13,2;2007-02-21T13:13;2007-02-21T13:28;Benthic;;;65;1;;3,2;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,8;13,2;2007-02-21T13:13;2007-02-21T13:28;Benthic;;;70;4;;3,2;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,8;13,2;2007-02-21T13:13;2007-02-21T13:28;Benthic;;;75;3;;3,2;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,8;13,2;2007-02-21T13:13;2007-02-21T13:28;Benthic;;;85;2;;3,2;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,8;13,2;2007-02-21T13:13;2007-02-21T13:28;Benthic;;;90;2;;3,2;
Sylt-4 trawl 2;55,000833;8,4315;54,9925;8,4365;17,4;13,1;2007-02-21T14:05;2007-02-21T14:20;Pelagic;;;60;1;;3,2;
Sylt-4 trawl 2;55,000833;8,4315;54,9925;8,4365;17,4;13,1;2007-02-21T14:05;2007-02-21T14:20;Pelagic;;;70;3;;3,2;
Sylt-4 trawl 2;55,000833;8,4315;54,9925;8,4365;17,4;13,1;2007-02-21T14:05;2007-02-21T14:20;Pelagic;;;80;1;;3,2;
Sylt-5 trawl 2;54,998667;8,427833;54,9925;8,426;5,3;2,4;2007-02-21T15:00;2007-02-21T15:15;Benthic;;;65;1;;3,2;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3;2,1;2007-02-22T10:30;2007-02-22T10:45;Benthic;;;60;1;;3,5;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3;2,1;2007-02-22T10:30;2007-02-22T10:45;Benthic;;;65;1;;3,5;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3;2,1;2007-02-22T10:30;2007-02-22T10:45;Benthic;;;70;4;;3,5;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3;2,1;2007-02-22T10:30;2007-02-22T10:45;Benthic;;;75;1;;3,5;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3;2,1;2007-02-22T10:30;2007-02-22T10:45;Benthic;;;80;2;;3,5;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3;2,1;2007-02-22T10:30;2007-02-22T10:45;Benthic;;;85;2;;3,5;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3;2,1;2007-02-22T10:30;2007-02-22T10:45;Benthic;;;90;3;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;55;7;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;60;2;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;65;11;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;70;14;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;75;17;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;80;23;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;85;6;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;90;8;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;95;1;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;100;1;;3,5;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,7;8,4;2007-02-22T11:27;2007-02-22T11:43;Benthic;;;120;1;;3,5;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;5,4;9;2007-02-22T12:17;2007-02-22T12:32;Pelagic;;;60;2;;3,5;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;5,4;9;2007-02-22T12:17;2007-02-22T12:32;Pelagic;;;70;4;;3,5;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;5,4;9;2007-02-22T12:17;2007-02-22T12:32;Pelagic;;;75;8;;3,5;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;5,4;9;2007-02-22T12:17;2007-02-22T12:32;Pelagic;;;80;9;;3,5;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;5,4;9;2007-02-22T12:17;2007-02-22T12:32;Pelagic;;;85;1;;3,5;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;5,4;9;2007-02-22T12:17;2007-02-22T12:32;Pelagic;;;90;2;;3,5;
Sylt-3 trawl 3;55,028;8,450167;55,037667;8,457;3,2;1,6;2007-03-20T10:42;2007-03-20T10:57;Benthic;;;65;1;;6;
Sylt-2 trawl 3;55,036;8,463283;55,0316;8,46875;10,3;6,9;2007-03-20T11:48;2007-03-20T12:02;Benthic;;;60;3;;6,4;
Sylt-2 trawl 3;55,036;8,463283;55,0316;8,46875;10,3;6,9;2007-03-20T11:48;2007-03-20T12:02;Benthic;;;70;2;;6,4;
Sylt-2 trawl 3;55,036;8,463283;55,0316;8,46875;10,3;6,9;2007-03-20T11:48;2007-03-20T12:02;Benthic;;;90;1;;6,4;
Sylt-2 trawl 3;55,036;8,463283;55,0316;8,46875;10,3;6,9;2007-03-20T11:48;2007-03-20T12:02;Benthic;;;100;1;;6,4;
Sylt-2 trawl 3;55,019283;8,4554;55,0319;8,468083;11,1;8,8;2007-03-20T12:42;2007-03-20T12:57;Pelagic;;;75;1;;6,4;
Sylt-2 trawl 3;55,019283;8,4554;55,0319;8,468083;11,1;8,8;2007-03-20T12:42;2007-03-20T12:57;Pelagic;;;80;1;;6,4;
Sylt-5 trawl 3;54,998667;8,427833;54,9925;8,426;5,8;2,6;2007-03-20T13:20;2007-03-20T13:35;Benthic;;;70;1;;7,3;
Sylt-5 trawl 3;54,998667;8,427833;54,9925;8,426;5,8;2,6;2007-03-20T13:20;2007-03-20T13:35;Benthic;;;80;2;;7,3;
Sylt-7 trawl 3;54,940833;8,399833;54,948167;8,416333;3,8;3,6;2007-03-21T10:00;2007-03-21T10:15;Benthic;;;70;1;;5,6;
Sylt-7 trawl 3;54,940833;8,399833;54,948167;8,416333;3,8;3,6;2007-03-21T10:00;2007-03-21T10:15;Benthic;;;80;2;;5,6;
Sylt-7 trawl 3;54,940833;8,399833;54,948167;8,416333;3,8;3,6;2007-03-21T10:00;2007-03-21T10:15;Benthic;;;90;2;;5,6;
Sylt-7 trawl 3;54,940833;8,399833;54,948167;8,416333;3,8;3,6;2007-03-21T10:00;2007-03-21T10:15;Benthic;;;100;4;;5,6;
Sylt-6 trawl 3;54,932333;8,395167;54,940667;8,405833;5,2;5,4;2007-03-21T10:36;2007-03-21T10:51;Benthic;;;100;1;;5;
Sylt-6 trawl 3;54,932333;8,395167;54,940667;8,405833;5,2;5,4;2007-03-21T10:36;2007-03-21T10:51;Benthic;;;160;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;60;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;75;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;85;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;90;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;100;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;105;2;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;110;3;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;115;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;120;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;135;1;;5;
Sylt-6 trawl 3;54,931667;8,394833;54,944;8,4145;5,1;5,3;2007-03-21T11:18;2007-03-21T11:33;Pelagic;;;140;2;;5;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;12,7;15,6;2007-03-21T12:45;2007-03-21T13:00;Benthic;;;45;1;;5,9;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;12,7;15,6;2007-03-21T12:45;2007-03-21T13:00;Benthic;;;60;1;;5,9;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;12,7;15,6;2007-03-21T12:45;2007-03-21T13:00;Benthic;;;65;1;;5,9;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;12,7;15,6;2007-03-21T12:45;2007-03-21T13:00;Benthic;;;70;3;;5,9;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;12,7;15,6;2007-03-21T12:45;2007-03-21T13:00;Benthic;;;75;2;;5,9;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;12,7;15,6;2007-03-21T12:45;2007-03-21T13:00;Benthic;;;80;2;;5,9;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;12,7;15,6;2007-03-21T12:45;2007-03-21T13:00;Benthic;;;85;3;;5,9;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;12,7;15,6;2007-03-21T12:45;2007-03-21T13:00;Benthic;;;90;2;;5,9;
Sylt-4 trawl 3;55,000833;8,4315;54,9925;8,4365;14,8;12,9;2007-03-21T13:50;2007-03-21T14:05;Pelagic;;;50;2;;5,9;
Sylt-4 trawl 3;55,000833;8,4315;54,9925;8,4365;14,8;12,9;2007-03-21T13:50;2007-03-21T14:05;Pelagic;;;65;1;;5,9;
Sylt-4 trawl 3;55,000833;8,4315;54,9925;8,4365;14,8;12,9;2007-03-21T13:50;2007-03-21T14:05;Pelagic;;;70;1;;5,9;
Sylt-4 trawl 3;55,000833;8,4315;54,9925;8,4365;14,8;12,9;2007-03-21T13:50;2007-03-21T14:05;Pelagic;;;80;1;;5,9;
Sylt-4 trawl 3;55,000833;8,4315;54,9925;8,4365;14,8;12,9;2007-03-21T13:50;2007-03-21T14:05;Pelagic;;;95;1;;5,9;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;2,5;3,6;2007-03-22T10:09;2007-03-22T10:24;Benthic;;;60;2;;5,5;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;2,5;3,6;2007-03-22T10:09;2007-03-22T10:24;Benthic;;;65;4;;5,5;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;2,5;3,6;2007-03-22T10:09;2007-03-22T10:24;Benthic;;;70;6;;5,5;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;2,5;3,6;2007-03-22T10:09;2007-03-22T10:24;Benthic;;;75;7;;5,5;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;2,5;3,6;2007-03-22T10:09;2007-03-22T10:24;Benthic;;;80;7;;5,5;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;2,5;3,6;2007-03-22T10:09;2007-03-22T10:24;Benthic;;;85;2;;5,5;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;2,5;3,6;2007-03-22T10:09;2007-03-22T10:24;Benthic;;;90;1;;5,5;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;2,5;3,6;2007-03-22T10:09;2007-03-22T10:24;Benthic;;;95;2;;5,5;
Sylt-7 trawl 4;54,940833;8,399833;54,948167;8,416333;2,3;2,8;2007-04-11T10:44;2007-04-11T10:59;Benthic;;;75;1;;9,8;
Sylt-7 trawl 4;54,940833;8,399833;54,948167;8,416333;2,3;2,8;2007-04-11T10:44;2007-04-11T10:59;Benthic;;;80;1;;9,8;
Sylt-7 trawl 4;54,940833;8,399833;54,948167;8,416333;2,3;2,8;2007-04-11T10:44;2007-04-11T10:59;Benthic;;;85;1;;9,8;
Sylt-7 trawl 4;54,940833;8,399833;54,948167;8,416333;2,3;2,8;2007-04-11T10:44;2007-04-11T10:59;Benthic;;;120;1;;9,8;
Sylt-6 trawl 4;54,931667;8,394833;54,944;8,4145;5,2;7,8;2007-04-11T11:18;2007-04-11T11:33;Pelagic;;;70;1;;9,6;
Sylt-6 trawl 4;54,931667;8,394833;54,944;8,4145;5,2;7,8;2007-04-11T11:18;2007-04-11T11:33;Pelagic;;;90;1;;9,6;
Sylt-7 trawl 5;54,940833;8,399833;54,948167;8,416333;2,8;3;2007-05-08T10:25;2007-05-08T10:30;Benthic;;;100;1;;13,5;
Sylt-4 trawl 6;55,000833;8,4315;54,9925;8,4365;9,8;12,4;2007-06-04T13:13;2007-06-04T13:28;Pelagic;;;100;1;;17,4;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;80;1;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;85;1;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;90;10;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;95;4;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;100;16;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;105;7;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;110;12;;18,9;
